movie_title,color,language,country,genres,content_rating,plot_keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Littleman ,Color,English,USA,Comedy|Crime,PG-13,diamond|infant|parody|spoof|sports violence,Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,John Witherspoon
U-571 ,Color,English,France,Action|War,PG-13,battle|historically inaccurate|submarine movie|u boat|world war two,Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,David Keith
The American President ,Color,English,USA,Comedy|Drama|Romance,PG-13,lobbyist|president|senator|state dinner|widower,Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick
The Love Guru ,Color,English,USA,Comedy|Romance|Sport,PG-13,bloopers during credits|bucket of popcorn|chastity belt|guru|toronto maple leafs,Marco Schnabel,Justin Timberlake,Romany Malco,Verne Troyer
3000 Miles to Graceland ,Color,English,USA,Action|Comedy|Crime|Thriller,R,casino|elvis impersonator|gun|heist|rascal,Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T
The Hateful Eight ,Color,English,USA,Crime|Drama|Mystery|Thriller|Western,R,blizzard|blood vomiting|bounty hunter|murder|shot in the crotch,Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell
Blades of Glory ,Color,English,USA,Comedy|Sport,PG-13,competition|fight|ice|jock strap|nintendo game boy advance,Josh Gordon,Will Ferrell,Amy Poehler,Jon Heder
Hop ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,PG,drummer|easter|easter bunny|piaggio vespa gtv 250|slacker,Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler
300 ,Color,English,USA,Action|Drama|Fantasy|War,R,battle|epic|greece|spartan|warrior,Zack Snyder,Gerard Butler,Michael Fassbender,Vincent Regan
Meet the Fockers ,Color,English,USA,Comedy|Romance,PG-13,bare butt|defecation|father in law son in law relationship|nurse|sexual innuendo in title,Jay Roach,Robert De Niro,Blythe Danner,Teri Polo
Marley & Me ,Color,English,USA,Comedy|Drama|Family,PG,box office hit|dog|dog movie|florida|pet name in title,David Frankel,Eric Dane,Kathleen Turner,Haley Bennett
The Green Mile ,Color,English,USA,Crime|Drama|Fantasy|Mystery,R,1930s|death row inmate|healing|prison guard|southern u.s.,Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter
Wild Hogs ,Color,English,USA,Action|Adventure|Comedy,PG-13,biker gang|friend|motorcycle|new mexico|road trip,Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora
Chicken Little ,Color,English,USA,Adventure|Animation|Comedy|Family|Sci-Fi,G,alien invasion|chicken|fish|friend|panic,Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris
Gone Girl ,Color,English,USA,Crime|Drama|Mystery|Thriller,R,based on novel|disappearance|missing person|missing wife|murder suspect,David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski
The Bourne Identity ,Color,English,USA,Action|Mystery|Thriller,PG-13,amnesia|assassin|money|political thriller|three word title,Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé
GoldenEye ,Color,English,UK,Action|Adventure|Thriller,PG-13,agent|cossack|official james bond series|russia|russian,Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo
The General's Daughter ,Color,English,USA,Drama|Mystery|Thriller,R,army cid|cover up|military|murder|woman in military,Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III
The Truman Show ,Color,English,USA,Comedy|Drama|Sci-Fi,PG,controlled environment|fictional reality show|hidden camera|innocence lost|simulated reality,Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause
The Prince of Egypt ,Color,English,USA,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,PG,ancient egypt|hebrew|nudity|pharaoh|title directed by female,Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel
Daddy Day Care ,Color,English,USA,Comedy|Family,PG,bloopers during credits|breakfast cereal|department store ride|face painting|sponge bob square pants slippers,Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin
2 Guns ,Color,English,USA,Action|Comedy|Crime|Drama|Thriller,R,close up of breasts|female nudity|fugitive|money|undercover,Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward
Cats & Dogs ,Color,English,USA,Action|Comedy|Family|Fantasy,PG,cartoon on tv|cat|dog|scientist|secret agent,Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes
The Italian Job ,Color,English,USA,Action|Crime|Thriller,PG-13,gold|heist|revenge|traffic jam|venice italy,F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert
Two Weeks Notice ,Color,English,USA,Comedy|Romance,PG-13,developer|divorce|lawyer|love|new york city,Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey
Antz ,Color,English,USA,Adventure|Animation|Comedy|Family,PG,ant|friend|princess|soldier|worker,Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft
Couples Retreat ,Color,English,USA,Comedy,PG-13,couple|island|marriage|tropical|voyeurism,Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith
Days of Thunder ,Color,English,USA,Action|Drama|Sport,PG-13,driver|hot shot|racing|stock car driver|team,Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid
Cheaper by the Dozen 2 ,Color,English,USA,Adventure|Comedy|Family,PG,children|competition|rival|second part|vacation,Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner
The Scorch Trials ,Color,English,USA,Action|Sci-Fi|Thriller,PG-13,desert|disease|escape|resistance|virus,Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar
Eat Pray Love ,Color,English,USA,Drama|Romance,PG-13,divorce|emotional balance|female protagonist|indonesia|inner peace,Ryan Murphy,James Franco,Julia Roberts,Billy Crudup
The Family Man ,Color,English,USA,Comedy|Drama|Fantasy|Romance,PG-13,bowling|christmas|parallel universe|salesman|unfaithfulness,Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta
RED ,Color,English,USA,Action|Comedy|Crime|Thriller,PG-13,cia|female assassin|interrogation|office cubicle|spy,Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming
Any Given Sunday ,Color,English,USA,Drama|Sport,R,breasts|coach|football|in medias res|vomiting,Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J
The Horse Whisperer ,Color,English,USA,Drama|Romance|Western,PG-13,grace|groom|horse|montana|western u.s.,Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig
Collateral ,Color,English,USA,Crime|Drama|Thriller,R,city by night|contract killer|driving at night|los angeles california|taxi,Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar
The Scorpion King ,Color,English,USA,Action|Adventure|Fantasy|Thriller,PG-13,desert|king|showdown|sorceress|warrior,Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill
Ladder 49 ,Color,English,USA,Action|Drama|Thriller,PG-13,death of husband|fire|firefighter|funeral|main character dies,Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett
Jack Reacher ,Color,English,USA,Action|Crime|Mystery|Thriller,PG-13,coma|mysterious villain|police chase|shooting range|sniper,Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo
Deep Blue Sea ,Color,English,USA,Action|Sci-Fi|Thriller,R,alzheimer's disease|experiment|human versus shark|research|underwater headquarters,Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows
This Is It ,Color,English,USA,Documentary|Music,PG,2000s|box office hit|comeback|rehearsal|year 2009,Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill
Contagion ,Color,English,USA,Drama|Thriller,PG-13,contagion|cure|infection|panic|virus,Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane
Kangaroo Jack ,Color,English,USA,Action|Adventure|Comedy|Crime,PG,australia|body paint|kangaroo|mob|money,David McNally,Estella Warren,Dyan Cannon,Bill Hunter
Coraline , Black and White,English,USA,Animation|Family|Fantasy,PG,dream|new home|parallel worlds|scissors|secret door,Henry Selick,Jennifer Saunders,Dawn French,John Hodgman
The Happening ,Color,English,USA,Sci-Fi|Thriller,R,bee|nature|park|school|teacher,M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly
Man on Fire ,Color,English,USA,Action|Crime|Drama|Thriller,R,bodyguard|journalist|kidnapping|mexico|police corruption,Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini
The Shaggy Dog ,Color,English,USA,Comedy|Family|Fantasy,PG,animal as human|dog movie|elevator|human becoming an animal|sheepdog,Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis
Starsky & Hutch ,Color,English,USA,Comedy|Crime,PG-13,cocaine|cop|criminal|partner|police,Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson
Jingle All the Way ,Color,English,USA,Comedy|Family,PG,action figure|christmas|hero|karate|toy,Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd
Hellboy ,Color,English,USA,Action|Fantasy|Horror|Sci-Fi,PG-13,assassin|demon|hero|nazi|superhero,Guillermo del Toro,James Babson,Rupert Evans,Brian Steele
A Civil Action ,Color,English,USA,Drama,PG-13,1980s|law firm|lawsuit|lawyer|toxic waste,Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack
ParaNorman ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,PG,curse|ghost|outcast|witch|zombie,Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch
The Jackal ,Color,English,USA,Action|Adventure|Crime|Thriller,R,assassin|fbi|ira|jackal|russian,Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo
Paycheck ,Color,English,USA,Action|Mystery|Sci-Fi|Thriller,PG-13,anti hero|babe scientist|engineer|memory|money,John Woo,Ivana Milicevic,Joe Morton,Callum Rennie
Up Close & Personal ,Color,English,USA,Drama|Romance,PG-13,journalism|news anchor|newscast|newscaster|tv journalism,Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz
The Tale of Despereaux ,Color,English,UK,Adventure|Animation|Comedy|Family|Fantasy,G,book|darkness|dungeon|princess|rat,Sam Fell,Emma Watson,Matthew Broderick,Frank Langella
Rules of Engagement             ,Color,English,USA,Comedy|Romance,TV-PG,fiance|fiancee|magazine editor|naivety|womanizer,,Bianca Kajlich,Oliver Hudson,Adhir Kalyan
The Tuxedo ,Color,English,USA,Action|Comedy|Sci-Fi,PG-13,chauffeur|hospital|secret agent|spying|tuxedo,Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster
Under Siege 2: Dark Territory ,Color,English,USA,Action|Thriller,R,colorado|niece|satellite|terrorist|train,Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick
Jack Ryan: Shadow Recruit ,Color,English,USA,Action|Drama|Thriller,PG-13,covert analyst|marine|russian|spy|stock market,Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan
Joy ,Color,English,USA,Biography|Comedy|Drama,PG-13,based on real person|female inventor|mop|sales pitch|woman holding a shotgun,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper
London Has Fallen ,Color,English,UK,Action|Crime|Drama|Thriller,R,british|funeral|good versus evil|mole|sequel,Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov
Alien: Resurrection ,Color,English,USA,Action|Horror|Sci-Fi,R,alien|blood|breeding|clone|scientist,Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz
Shooter ,Color,English,USA,Action|Crime|Drama|Mystery|Thriller,R,colonel|ethiopia|marksman|on the run|rangefinder,Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira
The Boxtrolls ,Color,English,USA,Adventure|Animation|Comedy|Family|Fantasy,PG,chase|puppet animation|red hat|stop motion animation|troll,Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan
Practical Magic ,Color,English,USA,Comedy|Drama|Fantasy|Romance,PG-13,curse|death|island|love|magic,Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing
The Lego Movie ,Color,English,Australia,Action|Adventure|Animation|Comedy|Family|Fantasy,PG,based on toy|dual personality|evil businessman|good cop bad cop|lego,Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie
Miss Congeniality 2: Armed and Fabulous ,Color,English,USA,Action|Comedy|Crime,PG-13,bodyguard|fbi|fbi agent|female protagonist|undercover,John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams
Reign of Fire ,Color,English,USA,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13,castle|dragon|fire breathing dragon|militia|survival,Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey
Gangster Squad ,Color,English,USA,Action|Crime|Drama|Thriller,R,good versus evil|machine gun|mobster|police vigilantism|year 1949,Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams
Year One ,Color,English,USA,Adventure|Comedy,PG-13,abraham|hunter|princess|sodom|tribe,Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley
Invictus ,Color,English,USA,Biography|Drama|History|Sport,PG-13,apartheid|nation|nelson mandela|president|rugby,Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo
State of Play ,Color,English,USA,Crime|Drama|Mystery|Thriller,PG-13,congressman|conspiracy|newspaper|political conspiracy|subway,Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston
Duplicity ,Color,English,USA,Comedy|Crime|Romance|Thriller,PG-13,ceo|dubai|product|rivalry|spy,Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare
My Favorite Martian ,Color,English,USA,Comedy|Family|Sci-Fi,PG,alien|hidden camera|martian|reporter|spaceship,Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner
The Sentinel ,Color,English,USA,Action|Crime|Thriller,PG-13,first lady|framed|investigation|president|secret service,Clark Johnson,Blair Brown,David Rasche,Martin Donovan
Planet 51 ,Color,English,Spain,Adventure|Animation|Comedy|Family|Sci-Fi,PG,alien|alien planet|astronaut|planet|teenager,Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden
Star Trek: Nemesis ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,earth|federation|romulan|slave|space,Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes
Intolerable Cruelty ,Color,English,USA,Comedy|Crime|Romance,PG-13,attorney|divorce|marriage|real estate|screwball comedy,Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy
Trouble with the Curve ,Color,English,USA,Drama|Sport,PG-13,aging|baseball|baseball scout|north carolina|pitcher,Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton
Edge of Darkness ,Color,English,UK,Crime|Drama|Mystery|Thriller,R,activist|detective|father daughter relationship|investigation|vigilantism,Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare
The Relic ,Color,English,UK,Horror|Mystery|Sci-Fi|Thriller,R,fire|helicopter|museum|police sergeant|relic,Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo
Analyze That ,Color,English,USA,Comedy|Crime,R,blonde|mafia|mental illness|prison|second part,Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli
Righteous Kill ,Color,English,USA,Action|Crime|Drama|Mystery|Thriller,R,blood splatter|execution|new york city|nypd|serial killer,Jon Avnet,Robert De Niro,Al Pacino,50 Cent
Mercury Rising ,Color,English,USA,Action|Crime|Drama|Thriller,R,autistic child|boy|child in danger|fbi|nsa,Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston
The Soloist ,Color,English,UK,Biography|Drama|Music,PG-13,columnist|journalist|los angeles times|musician|wearing a traffic cone as a hat,Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris
The Legend of Bagger Vance ,Color,English,USA,Drama|Fantasy|Sport,PG-13,caddy|game|golf|golf course|golfer,Robert Redford,Matt Damon,Will Smith,Charlize Theron
Almost Famous ,Color,English,USA,Adventure|Comedy|Drama|Music,R,band|magazine|rolling stone magazine|smoking marijuana|tour,Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano
Garfield 2 ,Color,English,UK,Animation|Comedy|Family|Fantasy,PG,cat|england|lti txii|peugeot 206|rover 3 5 litre.coupe p5b,Tim Hill,Bill Murray,Roger Rees,Ben Falcone
xXx: State of the Union ,Color,English,USA,Action|Adventure|Crime|Thriller,PG-13,coup d'etat|mutiny|president|u.s. navy|washington d.c.,Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit
Priest ,Color,English,USA,Action|Fantasy|Horror|Sci-Fi|Thriller,PG-13,church|priest|sheriff|vampire|warrior,Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins
Sinbad: Legend of the Seven Seas ,Color,English,USA,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,PG,book|framed|goddess|prince|sinbad,Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West
Event Horizon ,Color,English,UK,Horror|Sci-Fi|Thriller,R,solar system|space|spaceship|starship|year 2047,Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan
The Avengers ,Color,English,USA,Action|Adventure|Sci-Fi,PG-13,alien invasion|assassin|battle|iron man|soldier,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Dragonfly ,Color,English,USA,Drama|Fantasy|Mystery|Romance|Thriller,PG-13,death|doctor|grave|patient|venezuela,Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven
The Black Dahlia ,Color,English,Germany,Crime|Drama|Mystery|Thriller,R,black dahlia|boxer|corpse|death|partner,Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr
Flyboys , Black and White,English,UK,Action|Adventure|Drama|History|Romance|War,PG-13,american|france|military|pilot|training,Tony Bill,James Franco,Tyler Labine,Philip Winchester
The Last Castle ,Color,English,USA,Action|Drama|Thriller,R,colonel|general|military|prison|three star general,Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby
Supernova ,Color,English,USA,Horror|Sci-Fi|Thriller,PG-13,deep space|distress signal|explosion|mining|rescue,Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall
Winter's Tale ,Color,English,USA,Drama|Fantasy|Mystery|Romance,PG-13,black and white photograph|drawing with blood|falling through ice|playing piano|red haired woman,Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan
The Mortal Instruments: City of Bones ,Color,English,USA,Fantasy|Horror|Mystery|Romance,PG-13,battle|demon|magic|secret|warrior,Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder
Meet Dave ,Color,English,USA,Adventure|Comedy|Family|Romance|Sci-Fi,PG,alien|mutiny|orb|planet|spaceship,Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian
Dark Water ,Color,English,USA,Drama|Horror|Thriller,PG-13,apartment|hello kitty|school|teacher|water,Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade
Edtv ,Color,English,USA,Comedy|Drama,PG-13,female removes her clothes|one word title|producer|television|video store,Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard
Inkheart ,Color,English,Germany,Adventure|Family|Fantasy,PG,book|escape|girl|overalls|villain,Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman
The Spirit ,Color,English,USA,Action|Crime|Fantasy|Thriller,PG-13,female star appears nude|pants falling down|samurai|white rat|woman in a towel,Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi
Mortdecai ,Color,English,UK,Action|Comedy|Mystery|Romance,R,art dealer|fake painting|macguffin|moustache|stolen painting,David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen
In the Name of the King: A Dungeon Siege Tale ,Color,English,Germany,Action|Adventure|Fantasy|Thriller,PG-13,farmer|king|krug|rescue|wizard,Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier
Beyond Borders ,Color,English,USA,Adventure|Drama|Romance|War,R,africa|american|border|doctor|well,Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich
Xi you ji zhi: Sun Wukong san da Baigu Jing ,Color,English,China,Action|Adventure|Fantasy,,buddhism|demon|journey to the west|monk|monkey king,Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng
The Great Raid , Black and White,Filipino,USA,Action|Drama|War,R,american|lieutenant colonel|mission|rescue|soldier,John Dahl,James Franco,Clayne Crawford,Paolo Montalban
Deadpool ,Color,English,USA,Action|Adventure|Comedy|Romance|Sci-Fi,R,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic
Holy Man ,Color,English,USA,Comedy|Drama,PG,1990s|evangelist|professional rivalry|swimming pool|televangelist,Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack
American Sniper ,Color,English,USA,Action|Biography|Drama|History|Thriller|War,R,assassin|death of child|iraq|sniper|sniper rifle,Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell
Goosebumps ,Color,English,USA,Adventure|Comedy|Family|Fantasy|Horror,PG,based on book|blob|ferris wheel|manuscript|monster,Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino
"Sabrina, the Teenage Witch             ",Color,English,USA,Comedy|Family|Fantasy,TV-G,female protagonist|hereditary gift of witchcraft|magic|supernatural|witch,,Nate Richert,Soleil Moon Frye,Caroline Rhea
Just Like Heaven ,Color,English,USA,Comedy|Fantasy|Romance,PG-13,apartment|architect|coma|doctor|spirit,Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson
The Flintstones in Viva Rock Vegas ,Color,English,USA,Comedy|Family|Romance|Sci-Fi,PG,based on tv series|love|prequel|the flintstones|title appears in song,Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn
Rambo III ,Color,English,USA,Action|Adventure|Thriller|War,R,afghanistan|colonel|rambo|rescue|soviet,Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna
Leatherheads ,Color,English,USA,Comedy|Drama|Romance|Sport,PG-13,college football|fight|football|hero|surrender,George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell
The Ridiculous 6 ,Color,English,USA,Comedy|Western,TV-14,apache|bank robbery|baseball|half brothers|white raised as indian,Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz
Did You Hear About the Morgans? ,Color,English,USA,Comedy|Drama|Romance,PG-13,fbi|murder|witness|witness protection|wyoming,Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown
The Internship ,Color,English,USA,Comedy,PG-13,actor's picture shown in credits|animated credits|google|internship|still images in end credits,Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle
Resident Evil: Afterlife ,Color,English,Germany,Action|Adventure|Horror|Sci-Fi,R,alaska|female gunfighter|mutation|ship|siege,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts
Red Tails ,Color,English,USA,Action|Adventure|Drama|History|War,PG-13,african american|battle|italy|tuskegee airmen|world war two,Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds
Sex and the City             ,Color,English,USA,Comedy|Romance,TV-MA,casual sex|friendship|friendship between women|gay|singles,,Chris Noth,Kristin Davis,Cynthia Nixon
The Devil's Advocate ,Color,English,USA,Drama|Mystery|Thriller,R,deal with the devil|lawyer|money|reality|supernatural power,Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron
That's My Boy ,Color,English,USA,Comedy,R,argument|reference to vanilla ice|statutory rape|teacher student relationship|teacher student sex,Sean Anders,Adam Sandler,Leighton Meester,Will Forte
DragonHeart ,Color,English,USA,Action|Adventure|Fantasy,PG-13,dragon|england|human dragon relationship|king|knight,Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill
After the Sunset ,Color,English,USA,Action|Comedy|Crime|Drama,PG-13,diamond|fbi|fbi agent|island|thief,Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn
Ghost Rider: Spirit of Vengeance ,Color,English,USA,Action|Fantasy|Thriller,PG-13,deal with the devil|devil|eastern europe|ghost rider|monk,Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert
Captain Corelli's Mandolin ,Color,English,UK,Drama|Music|Romance|War,R,captain|greek|island|italian|love,John Madden,Christian Bale,Irene Papas,Mihalis Giannatos
Anger Management             ,Color,English,USA,Comedy|Romance,,anger management|argument|irony|sarcasm|therapist,,Barry Corbin,Noureen DeWulf,Brian Austin Green
The Pacifier ,Color,English,Canada,Action|Comedy|Drama|Family|Thriller,PG,bodyguard|death of husband|male nanny|nanny|wrestling match,Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan
Walking Tall ,Color,English,USA,Action|Crime,PG-13,casino|football|sheriff|special forces|violence,Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen
Forrest Gump , Black and White,English,USA,Comedy|Drama,PG-13,amputee|love|vietnam|vietnam war|war hero,Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson
Alvin and the Chipmunks ,Color,English,USA,Animation|Comedy|Family|Fantasy|Music,PG,based on cartoon|chipmunk|concert|fart joke|talking animal,Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler
Meet the Parents ,Color,English,USA,Comedy,PG-13,cat|cia|jewish|male nurse|nurse,Jay Roach,Robert De Niro,Blythe Danner,Teri Polo
Pocahontas ,Color,English,USA,Adventure|Animation|Drama|Family|History|Musical|Romance,G,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard
Superman ,Color,English,USA,Action|Adventure|Drama|Romance|Sci-Fi,PG,1970s|clark kent|planet|superhero|year 1978,Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty
The Nutty Professor ,Color,English,USA,Comedy|Romance|Sci-Fi,PG-13,face slap|formula|overweight|professor|teacher,Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle
Hitch ,Color,English,USA,Comedy|Romance,PG-13,advice|friendship|gossip|newspaper|quitting a job,Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman
George of the Jungle ,Color,English,USA,Action|Adventure|Comedy|Family|Romance,PG,animal companion|heiress|hero|jungle|male objectification,Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor
American Wedding ,Color,English,USA,Comedy|Romance,R,bachelor party|blow job|breasts|friend|wedding,Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard
Captain Phillips ,Color,English,USA,Biography|Drama|Thriller,PG-13,hijacking|hostage|leader|ship|somalia,Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus
Date Night ,Color,English,USA,Comedy|Crime|Romance|Thriller,PG-13,city|new york city|night|reservation|restaurant,Shawn Levy,Mila Kunis,James Franco,Steve Carell
Casper ,Color,English,USA,Comedy|Family|Fantasy,PG,casper|friendly ghost|ghost|maine|mansion,Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty
The Equalizer ,Color,English,USA,Action|Crime|Thriller,R,assassin|ex soldier|gangster|hanged man|mysterious past,Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox
Maid in Manhattan ,Color,English,USA,Comedy|Drama|Romance,PG-13,hotel|maid|new york city|place name in title|the bronx,Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson
Crimson Tide ,Color,English,USA,Action|Drama|Thriller|War,R,alabama|mutiny|order|radio|submarine,Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder
The Pursuit of Happyness ,Color,English,USA,Biography|Drama,PG-13,bus|intern|internship|salesman|stockbroker,Gabriele Muccino,Will Smith,Kurt Fuller,James Karen
Flightplan ,Color,English,USA,Drama|Mystery|Thriller,PG-13,captain|flight|flight attendant|plane|search,Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm
