,movie_title,color,language,country,genres,content_rating,plot_keywords,director_name,actor_1_name,actor_2_name,actor_3_name
1305,Victor Frankenstein ,Color,English,USA,Drama|Horror|Sci-Fi|Thriller,PG-13,assistant|experiment|frankenstein|medical student|scientist,Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays
1306,Duplex ,Color,English,USA,Comedy,PG-13,christmas|duplex|television|tenant|writer,Danny DeVito,Justin Theroux,Amber Valletta,Harvey Fierstein
1307,Soul Men ,Color,English,USA,Comedy|Drama|Music,R,band|masturbation|reunion|singer|tribute,Malcolm D. Lee,Bernie Mac,Sean Hayes,Mike Epps
1308,Raise the Titanic ,Color,English,UK,Action|Adventure|Drama|Thriller,PG,military|mineral|ocean|ship|titanic,Jerry Jameson,M. Emmet Walsh,Jason Robards,Anne Archer
1309,Universal Soldier: The Return ,Color,English,USA,Action|Sci-Fi,R,combat|computer|general|military|reporter,Mic Rodgers,Michael Jai White,Daniel von Bargen,Xander Berkeley
1310,Pandorum ,Color,English,Germany,Action|Horror|Mystery|Sci-Fi|Thriller,R,future|mission|space|spaceship|survival,Christian Alvart,Norman Reedus,Dennis Quaid,Eddie Rouse
1311,Impostor ,Color,English,USA,Drama|Mystery|Sci-Fi|Thriller,R,alien|android|bomb|future|weapon,Gary Fleder,Gary Dourdan,Mekhi Phifer,Tim Guinee
1312,Extreme Ops ,Color,English,UK,Action|Adventure|Thriller,PG-13,commercial|extreme sports|mountain|serbian|terrorist,Christian Duguay,Rufus Sewell,Bridgette Wilson-Sampras,Rupert Graves
1313,Just Visiting ,Color,English,France,Comedy|Fantasy|Sci-Fi,PG-13,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,Jean-Marie Poiré,Bridgette Wilson-Sampras,Matt Ross,John Aylward
1314,Sunshine ,Color,English,UK,Adventure|Sci-Fi|Thriller,R,astronaut|earth|future|icarus|sun,Danny Boyle,Chris Evans,Benedict Wong,Troy Garity
1315,A Thousand Words ,Color,English,USA,Comedy|Drama,PG-13,box office flop|buddhist|liar|literary agent|magical tree,Brian Robbins,John Gatins,Lou Saliba,Greg Collins
1316,Delgo ,Color,English,USA,Adventure|Animation|Comedy|Fantasy|Romance,PG,box office flop|computer animation|one word title|surrealism|villainess,Marc F. Adler,Eric Idle,Anne Bancroft,Kelly Ripa
1317,The Gunman ,Color,English,USA,Action|Crime|Drama|Mystery|Thriller,R,assassination|blood vomiting|death|hit squad|mercenary,Pierre Morel,Ray Winstone,Mark Rylance,Jasmine Trinca
1318,Alex Rider: Operation Stormbreaker ,Color,English,Germany,Action|Adventure|Family|Thriller,PG,14 year old|british|gadget|spy|training,Geoffrey Sax,Alex Pettyfer,Sophie Okonedo,Ashley Walters
1319,Disturbia ,Color,English,USA,Drama|Mystery|Thriller,PG-13,binoculars|electronic tag|house arrest|neighbor|watching someone,D.J. Caruso,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo
1320,Hackers ,Color,English,USA,Comedy|Crime|Drama|Thriller,PG-13,computer|computer virus|cyberpunk|fight the system|sexual fantasy,Iain Softley,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco
1321,The Hunting Party ,Color,English,USA,Adventure|Comedy|Drama|Romance|Thriller|War,R,bosnia|cia|fox|hunt|war criminal,Richard Shepard,James Brolin,Zan Marolt,Ljubomir Kerekes
1322,The Hudsucker Proxy , Black and White,English,UK,Comedy|Fantasy,PG,art deco|board of directors|industry|mail|stock,Joel Coen,Jennifer Jason Leigh,Bill Cobbs,John Mahoney
1323,The Warlords ,Color,Mandarin,Hong Kong,Action|Drama|History|Romance|War,R,assassination|blood brother|dynasty|general|stabbing a woman,Peter Ho-Sun Chan,Jet Li,Takeshi Kaneshiro,Andy Lau
1324,Nomad: The Warrior ,Color,Kazakh,France,Drama|History|War,R,1800s|kazakhstan|nomad,Sergey Bodrov,Jay Hernandez,Kuno Becker,Jason Scott Lee
1325,Snowpiercer ,Color,English,South Korea,Action|Drama|Sci-Fi|Thriller,R,closed ecological system|perpetual winter|population control|revolt|train,Joon-ho Bong,Chris Evans,Ewen Bremner,Kang-ho Song
1326,A Monster in Paris ,Color,French,France,Adventure|Animation|Comedy|Fantasy|Music|Romance,PG,belle epoque|city name in title|monster|paris france,Bibo Bergeron,Adam Goldberg,Bob Balaban,François Cluzet
1327,The Last Shot ,Color,English,USA,Comedy,R,fbi|movie producer|sting operation|undercover|urination,Jeff Nathanson,Matthew Broderick,Glenn Morshower,Tim Blake Nelson
1328,The Crow ,Color,English,USA,Action|Drama|Fantasy,R,back from the dead|crime boss|crow|gothic|vigilante,Alex Proyas,Michael Wincott,Bai Ling,David Patrick Kelly
1329,Baahubali: The Beginning ,Color,Telugu,India,Action|Adventure|Drama|Fantasy|War,,ancient india|dual role|good versus evil|hindu|kingdom,S.S. Rajamouli,Tamannaah Bhatia,Anushka Shetty,Prabhas
1330,The Time Traveler's Wife ,Color,English,USA,Drama|Fantasy|Romance|Sci-Fi,PG-13,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,Robert Schwentke,Arliss Howard,Brooklynn Proulx,Michelle Nolden
1331,Because I Said So ,Color,English,USA,Comedy|Romance,PG-13,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,Michael Lehmann,Colin Ferguson,Stephen Collins,Tom Everett Scott
1332,The Fast and the Furious ,Color,English,USA,Action|Crime|Thriller,PG-13,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster
1333,Frankenweenie , Black and White,English,USA,Animation|Comedy|Family|Horror|Sci-Fi,PG,dog|life|remake by original director|science|stop motion animation,Tim Burton,Martin Landau,Catherine O'Hara,Atticus Shaffer
1334,Serenity ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,alliance|cannibalism|future|operative|planet,Joss Whedon,Adam Baldwin,Sean Maher,Michael Hitchcock
1335,Against the Ropes ,Color,English,USA,Biography|Drama|Romance|Sport,PG-13,boxer|boxing|boxing arena|boxing manager|directed by co star,Charles S. Dutton,Omar Epps,Charles S. Dutton,Tim Daly
1336,Superman III ,Color,English,UK,Action|Comedy|Sci-Fi,PG,computer|high school|kryptonite|smallville|villain,Richard Lester,Margot Kidder,Robert Vaughn,Jackie Cooper
1337,Grudge Match ,Color,English,USA,Comedy|Sport,PG-13,broke|promoter|retirement|trainer|training,Peter Segal,Robert De Niro,Sylvester Stallone,Oscar Gale
1338,Red Cliff ,Color,Mandarin,China,Action|Adventure|Drama|History|War,R,alliance|battle|china|chinese|strategy,John Woo,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao
1339,Sweet Home Alabama ,Color,English,USA,Comedy|Romance,PG-13,alabama|divorce|divorce papers|husband wife relationship|new york city,Andy Tennant,Ethan Embry,Mary Lynn Rajskub,Courtney Gains
1340,The Ugly Truth ,Color,English,USA,Comedy|Romance,R,call in|chick flick|date|hot air balloon|show producer,Robert Luketic,Gerard Butler,John Michael Higgins,Eric Winter
1341,Sgt. Bilko ,Color,English,USA,Comedy,PG,greenland|military|revenge|soldier|u.s. soldier,Jonathan Lynn,Austin Pendleton,Phil Hartman,Max Casella
1342,Spy Kids 2: Island of Lost Dreams ,Color,English,USA,Action|Adventure|Comedy|Family|Sci-Fi,PG,island|mad scientist|scientist|sequel|spy,Robert Rodriguez,Steve Buscemi,Alexa PenaVega,Emily Osment
1343,Star Trek: Generations ,Color,English,USA,Action|Adventure|Mystery|Sci-Fi|Thriller,PG,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,David Carson,LeVar Burton,Alan Ruck,Jonathan Frakes
1344,The Grandmaster ,Color,Mandarin,Hong Kong,Action|Biography|Drama,PG-13,challenge|china|hong kong|martial arts|martial arts master,Kar-Wai Wong,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui
1345,Water for Elephants ,Color,English,USA,Drama|Romance,PG-13,circus|circus vargas|elephant|fear|train,Francis Lawrence,Robert Pattinson,Christoph Waltz,James Frain
1346,3rd Rock from the Sun             ,Color,English,USA,Comedy|Family|Sci-Fi,TV-PG,alien|digit in title|human form|number 3 in title|talking on a rooftop,,Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston
1347,Dragon Nest: Warriors' Dawn ,Color,English,China,Adventure|Animation|Family|Fantasy,,,Yuefeng Song,Blythe Auffarth,Bianca Collins,Jiao Xu
1348,The Hurricane , Black and White,English,USA,Biography|Drama|Sport,R,african american|book|boxer|boxing|murder,Norman Jewison,Denzel Washington,Vincent Pastore,Deborah Kara Unger
1349,Enough ,Color,English,USA,Crime|Drama|Thriller,PG-13,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,Michael Apted,Bill Cobbs,Jeff Kober,Billy Campbell
1350,Heartbreakers ,Color,English,USA,Comedy|Crime|Romance,PG-13,bank|infidelity|millionaire|money|scam,David Mirkin,Sarah Silverman,Anne Bancroft,Jeffrey Jones
1351,Paul Blart: Mall Cop 2 ,Color,English,USA,Action|Comedy|Crime,PG,character name in title|no opening credits|sequel|wilhelm scream,Andy Fickman,D.B. Woodside,Daniella Alonso,Eduardo Verástegui
1352,Angel Eyes ,Color,English,USA,Drama|Romance,R,apartment|fate|gun|love|mysterious man,Luis Mandoki,Sonia Braga,Shirley Knight,Kari Matchett
1353,Joe Somebody ,Color,English,USA,Comedy|Drama,PG,bully|co worker|divorce|fight|karate,John Pasquin,Jim Belushi,Ken Marino,Kelly Lynch
1354,The Ninth Gate ,Color,English,Spain,Mystery|Thriller,R,bare butt|gnosticism|lucifer|rare book|sex,Roman Polanski,Johnny Depp,Frank Langella,Lena Olin
1355,Extreme Measures ,Color,English,USA,Crime|Drama|Mystery|Thriller,R,cartoon on tv|doctor|emergency room|hospital|nudity,Michael Apted,J.K. Simmons,Paul Guilfoyle,Bill Nunn
1356,Rock Star ,Color,English,USA,Drama|Music,R,cover band|fired from a job|heavy metal|rock star|tribute band,Stephen Herek,Beth Grant,Dagmara Dominczyk,Matthew Glave
1357,Precious ,Color,English,USA,Drama,R,abuse|african american lesbian|lesbian|lesbian couple|school,Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey
1358,White Squall ,Color,English,USA,Adventure|Drama,PG-13,acrophobia|jamaica|male bonding|prostitute|tragedy,Ridley Scott,Jeff Bridges,Jason Marsden,Ethan Embry
1359,The Thing ,Color,English,USA,Horror|Mystery|Sci-Fi,R,alien creature|alien life form|antarctica|isolation|paranoia,John Carpenter,Wilford Brimley,Richard Masur,David Clennon
1360,Riddick ,Color,English,USA,Action|Sci-Fi|Thriller,R,alien|left for dead|mercenary|survival|vomiting,David Twohy,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine
1361,Switchback ,Color,English,USA,Crime|Mystery|Thriller,R,deputy|fbi agent|knife held to throat|serial killer|sheriff,Jeb Stuart,Gregory Scott Cummins,Claudia Stedelin,Ted Markland
1362,Texas Rangers ,Color,English,USA,Action|Adventure|Drama|Thriller|Western,PG-13,army|mexican|orphan|texas|texas ranger,Steve Miner,Tom Skerritt,Usher Raymond,Leonor Varela
1363,City of Ember ,Color,English,USA,Adventure|Family|Fantasy|Sci-Fi,PG,box|food|mayor|pipeworks|scientist,Gil Kenan,Bill Murray,Toby Jones,Harry Treadaway
1364,The Master ,Color,English,USA,Drama,R,drifter|past life regression|psychological testing|right hand man|scientology,Paul Thomas Anderson,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild
1365,Virgin Territory ,Color,English,Italy,Adventure|Comedy|History|Romance,R,breasts|nude nun|plague|russian nobleman|two word title,David Leland,Hayden Christensen,Ryan Cartwright,David Walliams
1366,The Express , Black and White,English,USA,Biography|Drama|Sport,PG,african american|coach|football movie|nonlinear timeline|syracuse university,Gary Fleder,Dennis Quaid,Nicole Beharie,Charles S. Dutton
1367,The 5th Wave ,Color,English,USA,Action|Adventure|Sci-Fi|Thriller,PG-13,alien|attack|based on novel|based on young adult novel|fear,J Blakeson,Chloë Grace Moretz,Maggie Siff,Nick Robinson
1368,Creed ,Color,English,USA,Drama|Sport,PG-13,boxing|boxing match|fight|montage|philadelphia,Ryan Coogler,Sylvester Stallone,Phylicia Rashad,Graham McTavish
1369,The Town ,Color,English,USA,Crime|Drama|Thriller,R,bank manager|bank robbery|criminal gang|heist|prison,Ben Affleck,Jeremy Renner,Jon Hamm,Owen Burke
1370,What to Expect When You're Expecting ,Color,English,USA,Comedy|Drama|Romance,PG-13,baby|expecting twins|hawaiian shirt|photographer|pregnancy,Kirk Jones,Anna Kendrick,Dennis Quaid,Thomas Lennon
1371,Burn After Reading ,Color,English,USA,Comedy|Drama,R,cia|divorce|embassy|gym|memoir,Ethan Coen,J.K. Simmons,Brad Pitt,Kevin Sussman
1372,Nim's Island ,Color,English,USA,Adventure|Comedy|Family|Fantasy,PG,author|girl|island|reading|scientist,Jennifer Flackett,Gerard Butler,Anthony Simcoe,Christopher James Baker
1373,Rush ,Color,English,UK,Action|Biography|Drama|Sport,R,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,Ron Howard,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara
1374,Magnolia ,Color,English,USA,Drama,R,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,Paul Thomas Anderson,Patton Oswalt,Neil Flynn,Jim Meskimen
1375,Cop Out ,Color,English,USA,Action|Comedy|Crime,R,baseball card|detective|partner|thief|wedding,Kevin Smith,Bruce Willis,Tracy Morgan,Kevin Pollak
1376,How to Be Single ,Color,English,USA,Comedy|Romance,R,motor scooter|new york city|newborn baby|scooter|single,Christian Ditter,Alison Brie,Damon Wayans Jr.,Nicholas Braun
1377,Dolphin Tale ,Color,English,USA,Drama|Family,PG,boy|dolphin|prosthetics|tail|trap,Charles Martin Smith,Morgan Freeman,Michael Roark,Harry Connick Jr.
1378,Twilight ,Color,English,USA,Drama|Fantasy|Romance,PG-13,blood|high school|love|school|vampire,Catherine Hardwicke,Kristen Stewart,Taylor Lautner,Anna Kendrick
1379,John Q ,Color,English,USA,Crime|Drama|Thriller,PG-13,health care|heart transplant|hospital|hostage|insurance,Nick Cassavetes,Denzel Washington,Laura Harring,Anne Heche
1380,Blue Streak ,Color,English,USA,Action|Comedy|Crime|Thriller,PG-13,detective|diamond|jewel|police|thief,Les Mayfield,Peter Greene,Dave Chappelle,Tamala Jones
1381,We're the Millers ,Color,English,USA,Comedy|Crime,R,fake family|male frontal nudity|marijuana|mexico|stripper,Rawson Marshall Thurber,Laura-Leigh,Molly C. Quinn,Thomas Lennon
1382,Obitaemyy ostrov ,Color,Russian,Russia,Action|Adventure|Sci-Fi,,22nd century|first part|friend|guard|space opera,Fedor Bondarchuk,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov
1383,Breakdown ,Color,English,USA,Action|Crime|Drama|Mystery|Thriller,R,car breakdown|diner|jeep|paranoia|violence,Jonathan Mostow,Kathleen Quinlan,M.C. Gainey,J.T. Walsh
1384,Never Say Never Again ,Color,English,UK,Action|Adventure|Thriller,PG,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,Irvin Kershner,Bernie Casey,Klaus Maria Brandauer,Barbara Carrera
1385,Hot Tub Time Machine ,Color,English,USA,Comedy|Sci-Fi,R,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,Steve Pink,Charlie McDermott,Collette Wolfe,Crystal Lowe
1386,Dolphin Tale 2 ,Color,English,USA,Drama|Family,PG,dolphin|latex gloves|medical scrubs|purple gloves|turtle,Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.
1387,Reindeer Games ,Color,English,USA,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,R,casino|christmas|christmas season|girlfriend|release from prison,John Frankenheimer,Charlize Theron,James Frain,Clarence Williams III
1388,A Man Apart ,Color,English,USA,Action|Crime|Drama|Thriller,R,bust|dea|drug cartel|justice|tragic hero,F. Gary Gray,Vin Diesel,Jeff Kober,Larenz Tate
1389,Aloha ,Color,English,USA,Comedy|Drama|Romance,PG-13,box office flop|critically bashed|hawaii|one word title|written by director,Cameron Crowe,Emma Stone,Bradley Cooper,Bill Murray
1390,Ghosts of Mississippi ,Color,English,USA,Drama|History,PG-13,activist|assassin|civil rights|trial|widow,Rob Reiner,Alexa PenaVega,Virginia Madsen,Craig T. Nelson
1391,Snow Falling on Cedars ,Color,English,USA,Drama|Mystery|Romance|Thriller,PG-13,fisherman|japanese|love|trial|washington state,Scott Hicks,Rick Yune,Reeve Carney,Daniel von Bargen
1392,The Rite ,Color,English,USA,Drama|Horror|Mystery|Thriller,PG-13,demon|exorcism|exorcist|faith|seminary,Mikael Håfström,Anthony Hopkins,Colin O'Donoghue,Toby Jones
1393,Gattaca ,Color,English,USA,Drama|Sci-Fi|Thriller,PG-13,accident|future|genetics|mission|police,Andrew Niccol,Blair Underwood,Xander Berkeley,Mason Gamble
1394,Isn't She Great ,Color,English,USA,Biography|Comedy|Romance,R,autistic son|cancer|female protagonist|new york city|son,Andrew Bergman,Stockard Channing,Nathan Lane,John Larroquette
1395,Space Chimps ,Color,English,USA,Adventure|Animation|Comedy|Family|Sci-Fi,G,astronaut|attacked by a plant|planet|senator|space travel,Kirk De Micco,Cheryl Hines,Kenan Thompson,Omid Abtahi
1396,Head of State ,Color,English,USA,Comedy,PG-13,alderman|party|president|presidential candidate|washington d.c.,Chris Rock,Bernie Mac,Dylan Baker,Tracy Morgan
1397,The Hangover ,Color,English,USA,Comedy,R,drunkenness|female nudity|hangover|hedonism|morning after,Todd Phillips,Bradley Cooper,Rob Riggle,Mike Epps
1398,Ip Man 3 ,Color,Cantonese,Hong Kong,Action|Biography|Drama|History,PG-13,1950s|cancer|hong kong|martial arts school|wing chun,Wilson Yip,Mike Tyson,Lynn Hung,Kwok-Kwan Chan
1399,Austin Powers: The Spy Who Shagged Me ,Color,English,USA,Action|Adventure|Comedy|Crime,PG-13,penis joke|phallic image|sexy agent|spy|volcano hideout,Jay Roach,Muse Watson,Verne Troyer,Robert Wagner
1400,Batman ,Color,English,USA,Action|Adventure,PG-13,city|dc comics|gotham|pantyhose|police,Tim Burton,Michael Gough,Jack Palance,William Hootkins
1401,There Be Dragons ,Color,English,Spain,Biography|Drama|War,PG-13,dying|forgiveness|saint|spanish civil war|starts with narration,Roland Joffé,Jordi Mollà,Dougray Scott,Lily Cole
1402,Lethal Weapon 3 ,Color,English,USA,Action|Crime|Thriller,R,gangster|gun|internal affairs|police|police officer,Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson
1403,The Blind Side ,Color,English,USA,Biography|Drama|Sport,PG-13,american football|based on true story|football star|high school football|left tackle,John Lee Hancock,Catherine Dyer,Quinton Aaron,Kim Dickens
1404,Rush Hour             ,Color,English,USA,Action|Comedy|Crime,TV-14,,,Jon Foo,Aimee Garcia,Wendie Malick
1405,Spy Kids ,Color,English,USA,Action|Adventure|Comedy|Family|Sci-Fi,PG,brother sister relationship|espionage|rescue|secret agent|spy,Robert Rodriguez,Alexa PenaVega,Cheech Marin,Daryl Sabara
1406,Horrible Bosses ,Color,English,USA,Comedy|Crime,R,black comedy|boss|chemical company|dental assistant|murder,Seth Gordon,Kevin Spacey,Lindsay Sloane,Reginald Ballard
1407,True Grit ,Color,English,USA,Adventure|Drama|Western,PG-13,arkansas|murder|sheriff|texas ranger|u.s. marshal,Ethan Coen,Matt Damon,Jeff Bridges,Bruce Green
1408,The Devil Wears Prada ,Color,English,USA,Comedy|Drama|Romance,PG-13,fashion|fashion industry|magazine|new york city|publishing,David Frankel,Meryl Streep,Anne Hathaway,Rebecca Mader
1409,Star Trek: The Motion Picture ,Color,English,USA,Adventure|Mystery|Sci-Fi,PG,alien|space|space station|spacecraft|warp speed,Robert Wise,Leonard Nimoy,Nichelle Nichols,Walter Koenig
1410,Identity Thief ,Color,English,USA,Comedy|Crime,R,bounty hunter|credit card|cross country|identity|police,Seth Gordon,Jon Favreau,Eric Stonestreet,T.I.
1411,Cape Fear ,Color,English,USA,Crime|Thriller,R,lawyer|neo noir|prison|rapist|southern gothic,Martin Scorsese,Robert De Niro,Robert Mitchum,Joe Don Baker
1412,21 ,Color,English,USA,Crime|Drama|Thriller,PG-13,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,Robert Luketic,Kevin Spacey,Jim Sturgess,Josh Gad
1413,Trainwreck ,Color,English,Japan,Comedy|Romance,R,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,Judd Apatow,Amy Schumer,Randall Park,Josh Segarra
1414,Guess Who ,Color,English,USA,Comedy|Romance,PG-13,argument|engagement|family relationships|love|undressing,Kevin Rodney Sullivan,Bernie Mac,Nicole Sullivan,Sherri Shepherd
1415,The English Patient ,Color,English,USA,Drama|Romance|War,R,church|english|flashback|nurse|patient,Anthony Minghella,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow
1416,L.A. Confidential ,Color,English,USA,Crime|Drama|Mystery|Thriller,R,1950s|call girl|corruption|murder|police detective,Curtis Hanson,Kevin Spacey,Matt McCoy,Paul Guilfoyle
1417,Sky High ,Color,English,USA,Adventure|Comedy|Family|Sci-Fi,PG,coming of age|friend|high school|sidekick|superpower,Mike Mitchell,Michael Angarano,Kelly Preston,Nicholas Braun
1418,In & Out ,Color,English,USA,Comedy,PG-13,academy award|gay|high school|reporter|teacher,Frank Oz,Tom Selleck,Wilford Brimley,Lauren Ambrose
1419,Species ,Color,English,USA,Action|Horror|Sci-Fi|Thriller,R,alien|interspecies sex|scientist|sexual attraction|train,Roger Donaldson,Natasha Henstridge,Marg Helgenberger,Jordan Lund
1420,A Nightmare on Elm Street ,Color,English,USA,Horror,X,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,Wes Craven,Johnny Depp,Lin Shaye,Amanda Wyss
1421,The Cell ,Color,English,USA,Horror|Sci-Fi|Thriller,R,coma|fbi|race against time|serial killer|strong female lead,Tarsem Singh,Dylan Baker,Jake Weber,James Gammon
1422,The Man in the Iron Mask ,Color,English,USA,Action|Adventure,PG-13,france|musketeer|three musketeers|twin|twin brother,Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche
1423,Secretariat ,Color,English,USA,Biography|Drama|Family|History|Sport,PG,eccentric|horse racing|newspaper clipping|stallion|triple crown,Randall Wallace,Scott Glenn,Kevin Connolly,Dylan Walsh
1424,TMNT ,Color,English,Hong Kong,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,PG,martial arts master|monster|new york city|turtle|warrior,Kevin Munroe,Chris Evans,Sarah Michelle Gellar,Mako
1425,Radio ,Color,English,USA,Biography|Drama|Sport,PG,coach|football|football coach|high school|radio,Michael Tollin,Alfre Woodard,Riley Smith,Debra Winger
1426,Friends with Benefits ,Color,English,USA,Comedy|Romance,R,blow job|female rear nudity|girl in panties|male objectification|no panties,Will Gluck,Mila Kunis,Justin Timberlake,Masi Oka
1427,Neighbors 2: Sorority Rising ,Color,English,USA,Comedy,R,bare chested male|gay|gay best friend|gay man|gay marriage proposal,Nicholas Stoller,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons
1428,Saving Mr. Banks ,Color,English,USA,Biography|Comedy|Drama|History|Music,PG-13,author|disney|loss of father|reference to walt disney|suppression of emotion,John Lee Hancock,Tom Hanks,Ruth Wilson,B.J. Novak
1429,Malcolm X ,Color,English,USA,Biography|Drama|History|Romance,PG-13,african american|black history|civil rights|ku klux klan|nation of islam,Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.
1430,This Is 40 ,Color,English,USA,Comedy,R,40th birthday|aging|birthday|sex|viagra,Judd Apatow,Charlyne Yi,Maude Apatow,Mackenzie Aladjem
1431,Old Dogs ,Color,English,USA,Comedy|Family,PG,best friend|business deal|impulse|public relations|twin,Walt Becker,Robin Williams,Bernie Mac,Ann-Margret
1432,Underworld: Rise of the Lycans ,Color,English,USA,Action|Adventure|Fantasy|Sci-Fi|Thriller,R,battle|slave|vampire|warrior|werewolf,Patrick Tatopoulos,Craig Parker,Kevin Grevioux,Steven Mackintosh
1433,License to Wed ,Color,English,USA,Comedy|Romance,PG-13,box office flop|church|kissing|usa|wedding,Ken Kwapis,Robin Williams,Christine Taylor,Mindy Kaling
1434,The Benchwarmers ,Color,English,USA,Comedy|Romance|Sport,PG-13,baseball|baseball team|bully|millionaire|team,Dennis Dugan,Jon Lovitz,Jon Heder,Tim Meadows
1435,Must Love Dogs ,Color,English,USA,Comedy|Romance,PG-13,date|dating|dog|love|teacher,Gary David Goldberg,Stockard Channing,Victor Webster,Elizabeth Perkins
1436,Donnie Brasco ,Color,English,USA,Biography|Crime|Drama,R,fbi|mafia|money|racial slur|singer,Mike Newell,Johnny Depp,Al Pacino,Anne Heche
1437,Resident Evil ,Color,English,UK,Action|Horror|Sci-Fi,R,amnesia|quarantine|special forces|virus|zombie,Paul W.S. Anderson,Milla Jovovich,Jaymes Butler,Colin Salmon
1438,Poltergeist ,Color,English,USA,Fantasy|Horror,PG,ghost|haunted|haunting|house|paranormal investigator,Tobe Hooper,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson
1439,The Ladykillers ,Color,English,USA,Comedy|Crime|Thriller,R,casino|irony of fate|landlady|professor|remake,Ethan Coen,J.K. Simmons,Tom Hanks,Stephen Root
1440,Max Payne ,Color,English,Canada,Action|Crime|Drama|Mystery|Thriller,PG-13,corporation|death|ex partner|hallucination|police detective,John Moore,Mila Kunis,Beau Bridges,Jamie Hector
1441,In Time ,Color,English,USA,Action|Sci-Fi|Thriller,PG-13,currency|future|murder|on the run|time,Andrew Niccol,Matt Bomer,Olivia Wilde,Justin Timberlake
1442,The Back-up Plan ,Color,English,USA,Comedy|Romance,PG-13,artificial insemination|baby|cheese|chick flick|pet shop,Alan Poul,Danneel Ackles,Noureen DeWulf,Tom Bosley
1443,Something Borrowed ,Color,English,USA,Comedy|Drama|Romance,PG-13,best friend|crush|law school|lawyer|loud sex,Luke Greenfield,Ashley Williams,Steve Howey,Kirsten Day
1444,Hit the Floor             ,Color,English,USA,Drama|Romance,,affair|hip hop|sex scene,,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning
1445,Black Knight ,Color,English,USA,Adventure|Comedy|Fantasy,PG-13,14th century|king|knight|sword duel|time travel,Gil Junger,Tom Wilkinson,Marsha Thomason,Vincent Regan
1446,The Bad News Bears ,Color,English,USA,Comedy|Drama|Family|Sport,PG,baseball|california|coach|little league|swimming pool,Michael Ritchie,Tatum O'Neal,Vic Morrow,Joyce Van Patten
1447,Street Fighter ,Color,English,Japan,Action|Adventure|Comedy|Thriller,PG-13,guile|hostage|ransom|soldier|united nations,Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue
1448,The Pianist , Black and White,English,France,Biography|Drama|War,R,ghetto|holocaust|jewish|piano|warsaw ghetto,Roman Polanski,Emilia Fox,Frank Finlay,Ed Stoppard
1449,From Hell ,Color,English,USA,Horror|Mystery|Thriller,R,freemason|jack the ripper|opium|prostitute|victorian era,Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson
1450,The Nativity Story ,Color,English,USA,Drama|Family|Fantasy,PG,angel|bethlehem|journey|nazareth|virgin,Catherine Hardwicke,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub
1451,House of Wax ,Color,English,Australia,Horror,R,brother sister relationship|group of friends|male nudity|twin|wax,Jaume Collet-Serra,Robert Ri'chard,Paris Hilton,Brian Van Holt
1452,Closer ,Color,English,USA,Drama|Romance,R,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,Mike Nichols,Natalie Portman,Julia Roberts,Colin Stinton
