,movie_name,domestic_gross,movie_link,production_budget,release_date,worldwide_gross,movie_title
744,The General's Daughter,102705852,http://www.the-numbers.com/movie/Generals-Daughter-The#tab=summary,60000000,6/18/1999,149705852,The General's Daughter 
745,The Prince of Egypt,101413188,http://www.the-numbers.com/movie/Prince-of-Egypt#tab=summary,60000000,12/18/1998,218613188,The Prince of Egypt 
746,Collateral,100170152,http://www.the-numbers.com/movie/Collateral#tab=summary,60000000,8/6/2004,217670152,Collateral 
747,Cats & Dogs,93375151,http://www.the-numbers.com/movie/Cats-and-Dogs#tab=summary,60000000,7/4/2001,200700000,Cats & Dogs 
748,Two Weeks Notice,93354918,http://www.the-numbers.com/movie/Two-Weeks-Notice#tab=summary,60000000,12/20/2002,199043309,Two Weeks Notice 
749,Antz,90757863,http://www.the-numbers.com/movie/Antz#tab=summary,60000000,10/2/1998,152457863,Antz 
750,The Scorpion King,90580000,http://www.the-numbers.com/movie/Scorpion-King-The#tab=summary,60000000,4/19/2002,165890634,The Scorpion King 
752,Starsky & Hutch,88200225,http://www.the-numbers.com/movie/Starsky-and-Hutch#tab=summary,60000000,3/5/2004,170200225,Starsky & Hutch 
753,Days of Thunder,82670733,http://www.the-numbers.com/movie/Days-of-Thunder#tab=summary,60000000,6/27/1990,157670733,Days of Thunder 
754,Cheaper by the Dozen 2,82571173,http://www.the-numbers.com/movie/Cheaper-by-the-Dozen-2#tab=summary,60000000,12/21/2005,135015330,Cheaper by the Dozen 2 
755,Eat Pray Love,80574010,http://www.the-numbers.com/movie/Eat-Pray-Love#tab=summary,60000000,8/13/2010,206598789,Eat Pray Love 
757,Man on Fire,77906816,http://www.the-numbers.com/movie/Man-on-Fire-(2004)#tab=summary,60000000,4/23/2004,130968579,Man on Fire 
760,Any Given Sunday,75530832,http://www.the-numbers.com/movie/Any-Given-Sunday#tab=summary,60000000,12/22/1999,100230832,Any Given Sunday 
761,The Horse Whisperer,75383563,http://www.the-numbers.com/movie/Horse-Whisperer-The#tab=summary,60000000,5/15/1998,186883563,The Horse Whisperer 
762,Coraline,75286229,http://www.the-numbers.com/movie/Coraline#tab=summary,60000000,2/6/2009,126037057,Coraline 
763,Ladder 49,74541707,http://www.the-numbers.com/movie/Ladder-49#tab=summary,60000000,10/1/2004,102332848,Ladder 49 
764,Deep Blue Sea,73648228,http://www.the-numbers.com/movie/Deep-Blue-Sea#tab=summary,60000000,7/28/1999,165048228,Deep Blue Sea 
766,Kangaroo Jack,66723216,http://www.the-numbers.com/movie/Kangaroo-Jack#tab=summary,60000000,1/17/2003,90723216,Kangaroo Jack 
767,The Happening,64506874,http://www.the-numbers.com/movie/Happening-The#tab=summary,60000000,6/13/2008,162778384,The Happening 
768,London Has Fallen,62524260,http://www.the-numbers.com/movie/London-Has-Fallen#tab=summary,60000000,3/4/2016,193857962,London Has Fallen 
769,Rules of Engagement,61322858,http://www.the-numbers.com/movie/Rules-of-Engagement#tab=summary,60000000,4/7/2000,71719931,Rules of Engagement             
770,The Shaggy Dog,61123569,http://www.the-numbers.com/movie/Shaggy-Dog-The-(2006)#tab=summary,60000000,3/10/2006,87123569,The Shaggy Dog 
771,Jingle All the Way,60592389,http://www.the-numbers.com/movie/Jingle-All-the-Way#tab=summary,60000000,11/22/1996,129832389,Jingle All the Way 
773,A Civil Action,56709981,http://www.the-numbers.com/movie/Civil-Action-A#tab=summary,60000000,12/25/1998,56709981,A Civil Action 
774,Joy,56451232,http://www.the-numbers.com/movie/Joy#tab=summary,60000000,12/25/2015,100751232,Joy 
776,The Jackal,54956941,http://www.the-numbers.com/movie/Jackal-The#tab=summary,60000000,11/14/1997,159356941,The Jackal 
777,Paycheck,53789313,http://www.the-numbers.com/movie/Paycheck#tab=summary,60000000,12/25/2003,98819789,Paycheck 
778,Up Close & Personal,51045801,http://www.the-numbers.com/movie/Up-Close-and-Personal#tab=summary,60000000,3/1/1996,100645801,Up Close & Personal 
779,The Tale of Despereaux,50877145,http://www.the-numbers.com/movie/Tale-of-Despereaux-The#tab=summary,60000000,12/19/2008,90482317,The Tale of Despereaux 
781,The Tuxedo,50586000,http://www.the-numbers.com/movie/Tuxedo-The#tab=summary,60000000,9/27/2002,104429625,The Tuxedo 
782,Jack Ryan: Shadow Recruit,50577412,http://www.the-numbers.com/movie/Jack-Ryan-Shadow-Recruit#tab=summary,60000000,1/17/2014,131377412,Jack Ryan: Shadow Recruit 
783,Under Siege 2: Dark Territory,50024083,http://www.the-numbers.com/movie/Under-Siege-2-Dark-Territory#tab=summary,60000000,7/14/1995,104324083,Under Siege 2: Dark Territory 
784,Miss Congeniality 2: Armed and Fabulous,48478006,http://www.the-numbers.com/movie/Miss-Congeniality-2-Armed-and-Fabulous#tab=summary,60000000,3/24/2005,101382396,Miss Congeniality 2: Armed and Fabulous 
785,Alien: Resurrection,47795018,http://www.the-numbers.com/movie/Alien-Resurrection#tab=summary,60000000,11/26/1997,160700000,Alien: Resurrection 
786,Shooter,47003582,http://www.the-numbers.com/movie/Shooter#tab=summary,60000000,3/23/2007,95538560,Shooter 
787,Practical Magic,46850558,http://www.the-numbers.com/movie/Practical-Magic#tab=summary,60000000,10/16/1998,68336997,Practical Magic 
788,Gangster Squad,46000903,http://www.the-numbers.com/movie/Gangster-Squad-The#tab=summary,60000000,1/11/2013,104100903,Gangster Squad 
789,Year One,43337279,http://www.the-numbers.com/movie/Year-One#tab=summary,60000000,6/19/2009,57604723,Year One 
790,Edge of Darkness,43313890,http://www.the-numbers.com/movie/Edge-of-Darkness#tab=summary,60000000,1/29/2010,82812456,Edge of Darkness 
791,Star Trek: Nemesis,43254409,http://www.the-numbers.com/movie/Star-Trek-Nemesis#tab=summary,60000000,12/13/2002,67312826,Star Trek: Nemesis 
792,Reign of Fire,43061982,http://www.the-numbers.com/movie/Reign-of-Fire#tab=summary,60000000,2/19/2002,82150183,Reign of Fire 
793,Planet 51,42194060,http://www.the-numbers.com/movie/Planet-51#tab=summary,60000000,11/20/2009,108996113,Planet 51 
794,Duplicity,40572825,http://www.the-numbers.com/movie/Duplicity#tab=summary,60000000,3/20/2009,81079566,Duplicity 
795,Righteous Kill,40081410,http://www.the-numbers.com/movie/Righteous-Kill#tab=summary,60000000,9/12/2008,78481410,Righteous Kill 
796,Invictus,37491364,http://www.the-numbers.com/movie/Invictus#tab=summary,60000000,12/11/2009,124514011,Invictus 
797,State of Play,37017955,http://www.the-numbers.com/movie/State-of-Play#tab=summary,60000000,4/17/2009,88832210,State of Play 
798,My Favorite Martian,36850101,http://www.the-numbers.com/movie/My-Favorite-Martian#tab=summary,60000000,2/12/1999,36850101,My Favorite Martian 
799,The Sentinel,36280697,http://www.the-numbers.com/movie/Sentinel-The#tab=summary,60000000,4/21/2006,78080697,The Sentinel 
800,Trouble with the Curve,35763137,http://www.the-numbers.com/movie/Trouble-with-the-Curve#tab=summary,60000000,9/21/2012,47818913,Trouble with the Curve 
801,Intolerable Cruelty,35327628,http://www.the-numbers.com/movie/Intolerable-Cruelty#tab=summary,60000000,10/10/2003,121327628,Intolerable Cruelty 
802,The Relic,33956608,http://www.the-numbers.com/movie/Relic-The#tab=summary,60000000,1/10/1997,33956608,The Relic 
803,Mercury Rising,32983332,http://www.the-numbers.com/movie/Mercury-Rising#tab=summary,60000000,4/3/1998,32983332,Mercury Rising 
804,Almost Famous,32522352,http://www.the-numbers.com/movie/Almost-Famous#tab=summary,60000000,9/15/2000,47371191,Almost Famous 
805,Analyze That,32122249,http://www.the-numbers.com/movie/Analyze-That#tab=summary,60000000,12/6/2002,54994757,Analyze That 
806,The Soloist,31720158,http://www.the-numbers.com/movie/Soloist-The#tab=summary,60000000,4/24/2009,38389024,The Soloist 
807,The Mortal Instruments: City of Bones,31165421,http://www.the-numbers.com/movie/Mortal-Instruments-City-of-Bones-The#tab=summary,60000000,8/21/2013,75965567,The Mortal Instruments: City of Bones 
808,The Legend of Bagger Vance,30695227,http://www.the-numbers.com/movie/Legend-of-Bagger-Vance-The#tab=summary,60000000,11/3/2000,39235486,The Legend of Bagger Vance 
809,Dragonfly,30063805,http://www.the-numbers.com/movie/Dragonfly#tab=summary,60000000,2/22/2002,30063805,Dragonfly 
810,Priest,29136626,http://www.the-numbers.com/movie/Priest-(2010)#tab=summary,60000000,5/13/2011,84154026,Priest 
812,XXX: State of the Union,26873932,http://www.the-numbers.com/movie/XXX-State-of-the-Union#tab=summary,60000000,4/29/2005,71073932,xXx: State of the Union 
813,Event Horizon,26673242,http://www.the-numbers.com/movie/Event-Horizon#tab=summary,60000000,8/15/1997,26673242,Event Horizon 
814,Sinbad: Legend of the Seven Seas,26483452,http://www.the-numbers.com/movie/Sinbad-Legend-of-the-Seven-Seas#tab=summary,60000000,7/2/2003,80767884,Sinbad: Legend of the Seven Seas 
815,Dark Water,25473093,http://www.the-numbers.com/movie/Dark-Water#tab=summary,60000000,7/8/2005,49473093,Dark Water 
817,The Black Dahlia,22672813,http://www.the-numbers.com/movie/Black-Dahlia-The#tab=summary,60000000,9/15/2006,49238525,The Black Dahlia 
818,EDtv,22508689,http://www.the-numbers.com/movie/EDtv#tab=summary,60000000,3/26/1999,35319689,Edtv 
819,The Spirit,19806188,http://www.the-numbers.com/movie/Spirit-The#tab=summary,60000000,12/25/2008,39006188,The Spirit 
820,The Last Castle,18208078,http://www.the-numbers.com/movie/Last-Castle-The#tab=summary,60000000,10/19/2001,20541668,The Last Castle 
821,Inkheart,17303424,http://www.the-numbers.com/movie/Inkheart#tab=summary,60000000,1/23/2009,66655938,Inkheart 
822,Supernova,14218868,http://www.the-numbers.com/movie/Supernova#tab=summary,60000000,1/14/2000,14218868,Supernova 
823,Flyboys,13090630,http://www.the-numbers.com/movie/Flyboys#tab=summary,60000000,9/22/2006,14816379,Flyboys 
824,Winter's Tale,12600231,http://www.the-numbers.com/movie/Winters-Tale#tab=summary,60000000,2/14/2014,22468620,Winter's Tale 
825,Holy Man,12069719,http://www.the-numbers.com/movie/Holy-Man#tab=summary,60000000,10/9/1998,12069719,Holy Man 
826,Meet Dave,11803254,http://www.the-numbers.com/movie/Meet-Dave#tab=summary,60000000,7/11/2008,50648806,Meet Dave 
827,The Great Raid,10166502,http://www.the-numbers.com/movie/Great-Raid-The#tab=summary,60000000,8/12/2005,10597070,The Great Raid 
828,Mortdecai,7696134,http://www.the-numbers.com/movie/Mortdecai#tab=summary,60000000,1/23/2015,30396134,Mortdecai 
829,In the Name of the King: A Dungeon Siege Tale,4775656,http://www.the-numbers.com/movie/In-the-Name-of-the-King-A-Dungeon-Siege-Tale#tab=summary,60000000,1/11/2008,13075656,In the Name of the King: A Dungeon Siege Tale 
830,Beyond Borders,4426297,http://www.the-numbers.com/movie/Beyond-Borders#tab=summary,60000000,10/24/2003,11427090,Beyond Borders 
831,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,709982,http://www.the-numbers.com/movie/Xi-You-Ji-zhi-Sun-Wu-Kong-San-Da-Bai-Gu-Jing#tab=summary,60000000,2/5/2016,194058503,Xi you ji zhi: Sun Wukong san da Baigu Jing 
832,The Ridiculous 6,0,http://www.the-numbers.com/movie/Ridiculous-6-The#tab=summary,60000000,12/11/2015,0,The Ridiculous 6 
833,Deadpool,363070709,http://www.the-numbers.com/movie/Deadpool#tab=summary,58000000,2/12/2016,783770709,Deadpool 
834,American Sniper,350126372,http://www.the-numbers.com/movie/American-Sniper#tab=summary,58000000,12/25/2014,547326372,American Sniper 
835,Goosebumps,80069458,http://www.the-numbers.com/movie/Goosebumps#tab=summary,58000000,10/16/2015,158162788,Goosebumps 
838,Red Tails,49876377,http://www.the-numbers.com/movie/Red-Tails#tab=summary,58000000,1/20/2012,50365498,Red Tails 
839,Just Like Heaven,48318130,http://www.the-numbers.com/movie/Just-Like-Heaven#tab=summary,58000000,9/16/2005,100687083,Just Like Heaven 
840,The Internship,44672764,http://www.the-numbers.com/movie/Internship-The#tab=summary,58000000,6/7/2013,93672764,The Internship 
841,The Flintstones in Viva Rock Vegas,35231365,http://www.the-numbers.com/movie/Flintstones-in-Viva-Rock-Vegas#tab=summary,58000000,4/28/2000,59431365,The Flintstones in Viva Rock Vegas 
842,Leatherheads,31373938,http://www.the-numbers.com/movie/Leatherheads#tab=summary,58000000,4/4/2008,41348628,Leatherheads 
843,Did You Hear About the Morgans?,29580087,http://www.the-numbers.com/movie/Did-You-Hear-About-the-Morgans#tab=summary,58000000,12/18/2009,80480566,Did You Hear About the Morgans? 
846,Resident Evil: Afterlife,60128566,http://www.the-numbers.com/movie/Resident-Evil-Afterlife#tab=summary,57500000,9/10/2010,295874190,Resident Evil: Afterlife 
847,That's My Boy,36931089,http://www.the-numbers.com/movie/I-Hate-You-Dad#tab=summary,57500000,6/15/2012,58085235,That's My Boy 
848,Devil's Advocate,61007424,http://www.the-numbers.com/movie/Devils-Advocate#tab=summary,57000000,10/17/1997,153007424,The Devil's Advocate 
849,Ghost Rider: Spirit of Vengeance,51774002,http://www.the-numbers.com/movie/Ghost-Rider-Spirit-of-Vengeance#tab=summary,57000000,2/17/2012,149217355,Ghost Rider: Spirit of Vengeance 
850,Dragonheart,51364680,http://www.the-numbers.com/movie/Dragonheart#tab=summary,57000000,5/31/1996,104364680,DragonHeart 
851,After the Sunset,28328132,http://www.the-numbers.com/movie/After-the-Sunset#tab=summary,57000000,11/12/2004,38329114,After the Sunset 
852,Captain Corelli's Mandolin,25528495,http://www.the-numbers.com/movie/Captain-Corellis-Mandolin#tab=summary,57000000,8/17/2001,62097495,Captain Corelli's Mandolin 
853,Anger Management,135560942,http://www.the-numbers.com/movie/Anger-Management#tab=summary,56000000,4/11/2003,195660942,Anger Management             
854,The Pacifier,113006880,http://www.the-numbers.com/movie/Pacifier-The#tab=summary,56000000,3/4/2005,198006880,The Pacifier 
856,Forrest Gump,330151138,http://www.the-numbers.com/movie/Forrest-Gump#tab=summary,55000000,7/6/1994,679857164,Forrest Gump 
857,Alvin and the Chipmunks,217326974,http://www.the-numbers.com/movie/Alvin-and-the-Chipmunks#tab=summary,55000000,12/14/2007,362605033,Alvin and the Chipmunks 
858,Hitch,177784257,http://www.the-numbers.com/movie/Hitch#tab=summary,55000000,2/11/2005,366784257,Hitch 
860,The Pursuit of Happyness,162586036,http://www.the-numbers.com/movie/Pursuit-of-Happyness-The#tab=summary,55000000,12/15/2006,307325633,The Pursuit of Happyness 
861,Pocahontas,141579773,http://www.the-numbers.com/movie/Pocahontas#tab=summary,55000000,6/10/1995,347100000,Pocahontas 
862,Superman,134218018,http://www.the-numbers.com/movie/Superman#tab=summary,55000000,12/15/1978,300200000,Superman 
863,The Nutty Professor,128814019,http://www.the-numbers.com/movie/Nutty-Professor-The#tab=summary,55000000,6/28/1996,273814019,The Nutty Professor 
864,Captain Phillips,107136417,http://www.the-numbers.com/movie/Captain-Phillips#tab=summary,55000000,10/11/2013,220648184,Captain Phillips 
865,George Of The Jungle,105263257,http://www.the-numbers.com/movie/George-Of-The-Jungle#tab=summary,55000000,7/16/1997,174463257,George of the Jungle 
866,American Wedding,104354205,http://www.the-numbers.com/movie/American-Wedding#tab=summary,55000000,8/1/2003,126425115,American Wedding 
867,The Equalizer,101530738,http://www.the-numbers.com/movie/Equalizer-The#tab=summary,55000000,9/26/2014,192165283,The Equalizer 
868,Casper,100328194,http://www.the-numbers.com/movie/Casper#tab=summary,55000000,5/26/1995,282300000,Casper 
869,Date Night,98711404,http://www.the-numbers.com/movie/Date-Night#tab=summary,55000000,4/9/2010,152269033,Date Night 
870,Maid in Manhattan,93932896,http://www.the-numbers.com/movie/Maid-in-Manhattan#tab=summary,55000000,12/13/2002,163838217,Maid in Manhattan 
871,Crimson Tide,91387195,http://www.the-numbers.com/movie/Crimson-Tide#tab=summary,55000000,5/12/1995,159387195,Crimson Tide 
872,Flightplan,89706988,http://www.the-numbers.com/movie/Flightplan#tab=summary,55000000,9/23/2005,214392904,Flightplan 
873,Disclosure,83015089,http://www.the-numbers.com/movie/Disclosure#tab=summary,55000000,12/9/1994,212200000,Disclosure 
874,City of Angels,78750909,http://www.the-numbers.com/movie/City-of-Angels#tab=summary,55000000,4/10/1998,198750909,City of Angels 
875,Paddington,76223578,http://www.the-numbers.com/movie/Paddington#tab=summary,55000000,1/16/2015,259541430,Paddington 
878,Kill Bill: Volume 1,70098138,http://www.the-numbers.com/movie/Kill-Bill-Volume-1#tab=summary,55000000,10/10/2003,176469428,Kill Bill: Vol. 1 
879,Mr. Poppers's Penguins,68224452,http://www.the-numbers.com/movie/Mr-Poppers-Penguins#tab=summary,55000000,6/17/2011,189624452,Mr. Popper's Penguins 
880,Bowfinger,66458769,http://www.the-numbers.com/movie/Bowfinger#tab=summary,55000000,8/13/1999,98699769,Bowfinger 
881,Kill Bill: Volume 2,66207920,http://www.the-numbers.com/movie/Kill-Bill-Volume-2#tab=summary,55000000,4/16/2004,153535982,Kill Bill: Vol. 2 
882,Tango & Cash,63408614,http://www.the-numbers.com/movie/Tango-and-Cash#tab=summary,55000000,12/22/1989,63408614,Tango & Cash 
883,Death Becomes Her,58422650,http://www.the-numbers.com/movie/Death-Becomes-Her#tab=summary,55000000,7/31/1992,149022650,Death Becomes Her 
884,Shanghai Noon,56932305,http://www.the-numbers.com/movie/Shanghai-Noon#tab=summary,55000000,5/26/2000,71189835,Shanghai Noon 
885,Executive Decision,56679192,http://www.the-numbers.com/movie/Executive-Decision#tab=summary,55000000,3/15/1996,122079192,Executive Decision 
886,Free Birds,55750480,http://www.the-numbers.com/movie/Free-Birds#tab=summary,55000000,11/1/2013,110387072,Free Birds 
887,Alien 3,54927174,http://www.the-numbers.com/movie/Alien-3#tab=summary,55000000,5/22/1992,158500000,Alien 3 
888,The Forbidden Kingdom,52075270,http://www.the-numbers.com/movie/Forbidden-Kingdom-The#tab=summary,55000000,4/18/2008,129075270,The Forbidden Kingdom 
889,The Phantom of the Opera,51225796,http://www.the-numbers.com/movie/Phantom-of-the-Opera-The-(2004)#tab=summary,55000000,12/22/2004,154605868,The Phantom of the Opera 
890,Muppets Most Wanted,51178893,http://www.the-numbers.com/movie/Muppets-Most-Wanted#tab=summary,55000000,3/21/2014,79312301,Muppets Most Wanted 
891,Evita,50047179,http://www.the-numbers.com/movie/Evita#tab=summary,55000000,12/25/1996,151947179,Evita 
892,Ronin,41610884,http://www.the-numbers.com/movie/Ronin#tab=summary,55000000,9/25/1998,70692101,Ronin 
893,Burlesque,39440655,http://www.the-numbers.com/movie/Burlesque#tab=summary,55000000,11/24/2010,90552675,Burlesque 
894,The Ghost and the Darkness,38564422,http://www.the-numbers.com/movie/Ghost-and-the-Darkness-The#tab=summary,55000000,10/11/1996,38564422,The Ghost and the Darkness 
895,Changeling,35739802,http://www.the-numbers.com/movie/Changeling-(2008)#tab=summary,55000000,10/24/2008,113805580,Changeling 
896,The Watch,34353000,http://www.the-numbers.com/movie/Neighborhood-Watch#tab=summary,55000000,7/27/2012,67353000,The Watch 
897,The Hunted,34234008,http://www.the-numbers.com/movie/Hunted-The-(2003)#tab=summary,55000000,3/14/2003,45016494,The Hunted 
898,Instinct,34105207,http://www.the-numbers.com/movie/Instinct#tab=summary,55000000,6/4/1999,34105207,Instinct 
899,Stuck On You,33832741,http://www.the-numbers.com/movie/Stuck-On-You#tab=summary,55000000,12/12/2003,63537164,Stuck on You 
900,Semi-Pro,33479698,http://www.the-numbers.com/movie/Semi-Pro#tab=summary,55000000,2/29/2008,43980363,Semi-Pro 
902,Aeon Flux,25857987,http://www.the-numbers.com/movie/Aeon-Flux#tab=summary,55000000,12/2/2005,47953341,Æon Flux 
903,Chain Reaction,21226204,http://www.the-numbers.com/movie/Chain-Reaction#tab=summary,55000000,8/2/1996,60209334,Chain Reaction 
904,The Fan,18582965,http://www.the-numbers.com/movie/Fan-The#tab=summary,55000000,8/16/1996,18582965,The Fan 
905,Elizabeth: The Golden Age,16285240,http://www.the-numbers.com/movie/Elizabeth-The-Golden-Age#tab=summary,55000000,10/12/2007,74870866,Elizabeth: The Golden Age 
906,Imagine That,16123323,http://www.the-numbers.com/movie/Imagine-That#tab=summary,55000000,6/12/2009,16123323,Imagine That 
907,Gods and Generals,12882934,http://www.the-numbers.com/movie/Gods-and-Generals#tab=summary,55000000,2/21/2003,12923936,Gods and Generals 
908,Turbulence,11532774,http://www.the-numbers.com/movie/Turbulence#tab=summary,55000000,1/10/1997,11532774,Turbulence 
909,Bullet to the Head,9489829,http://www.the-numbers.com/movie/Bullet-to-the-Head#tab=summary,55000000,2/1/2013,22597969,Bullet to the Head 
910,All the King's Men,7221458,http://www.the-numbers.com/movie/All-the-Kings-Men#tab=summary,55000000,9/22/2006,9521458,All the King's Men 
911,Thunderbirds,6768055,http://www.the-numbers.com/movie/Thunderbirds#tab=summary,55000000,7/30/2004,28231444,Thunderbirds 
912,A Very Long Engagement,6167817,http://www.the-numbers.com/movie/Very-Long-Engagement-A#tab=summary,55000000,11/26/2004,69759296,A Very Long Engagement 
915,Eye See You,79161,http://www.the-numbers.com/movie/Eye-See-You#tab=summary,55000000,9/20/2002,1807990,Eye See You 
916,Superman II,108185706,http://www.the-numbers.com/movie/Superman-II#tab=summary,54000000,6/19/1981,108185706,Superman II 
918,"You, Me and Dupree",75802010,http://www.the-numbers.com/movie/You-Me-and-Dupree#tab=summary,54000000,7/14/2006,130402010,"You, Me and Dupree "
919,Seven Pounds,69951824,http://www.the-numbers.com/movie/Seven-Pounds#tab=summary,54000000,12/19/2008,166617328,Seven Pounds 
920,The Godfather: Part III,66520529,http://www.the-numbers.com/movie/Godfather-Part-III-The#tab=summary,54000000,12/25/1990,66520529,The Godfather: Part III 
921,Elizabethtown,26850426,http://www.the-numbers.com/movie/Elizabethtown#tab=summary,54000000,10/14/2005,50719373,Elizabethtown 
922,Gigli,6087542,http://www.the-numbers.com/movie/Gigli#tab=summary,54000000,8/1/2003,7126002,Gigli 
923,Shaft,70327868,http://www.the-numbers.com/movie/Shaft#tab=summary,53012938,6/16/2000,107190108,Shaft 
924,The Dukes of Hazzard,80270227,http://www.the-numbers.com/movie/Dukes-of-Hazzard-The#tab=summary,53000000,8/5/2005,109848461,The Dukes of Hazzard 
925,Law Abiding Citizen,73357727,http://www.the-numbers.com/movie/Law-Abiding-Citizen#tab=summary,53000000,10/16/2009,131159781,Law Abiding Citizen 
927,Anastasia,58403409,http://www.the-numbers.com/movie/Anastasia#tab=summary,53000000,11/14/1997,139801410,Anastasia 
928,Moulin Rouge,57386369,http://www.the-numbers.com/movie/Moulin-Rouge#tab=summary,53000000,5/18/2001,179213196,Moulin Rouge! 
929,Domestic Disturbance,45207112,http://www.the-numbers.com/movie/Domestic-Disturbance#tab=summary,53000000,11/2/2001,54207112,Domestic Disturbance 
930,Flags of Our Fathers,33602376,http://www.the-numbers.com/movie/Flags-of-Our-Fathers#tab=summary,53000000,10/20/2006,63657941,Flags of Our Fathers 
931,Grindhouse,25031037,http://www.the-numbers.com/movie/Grindhouse#tab=summary,53000000,4/6/2007,50187789,Grindhouse 
932,Beloved,22852487,http://www.the-numbers.com/movie/Beloved#tab=summary,53000000,10/16/1998,22852487,Beloved 
933,Zero Dark Thirty,95720716,http://www.the-numbers.com/movie/Zero-Dark-Thirty#tab=summary,52500000,12/19/2012,134612435,Zero Dark Thirty 
934,Catch Me if You Can,164606800,http://www.the-numbers.com/movie/Catch-Me-if-You-Can#tab=summary,52000000,12/25/2002,355612291,Catch Me If You Can 
935,Mamma Mia!,144130063,http://www.the-numbers.com/movie/Mamma-Mia#tab=summary,52000000,7/18/2008,602500560,Mamma Mia! 
936,The Break-Up,118703275,http://www.the-numbers.com/movie/Break-Up-The#tab=summary,52000000,6/2/2006,205727307,The Break-Up 
937,Valentine's Day,110485654,http://www.the-numbers.com/movie/Valentines-Day#tab=summary,52000000,2/12/2010,217569328,Valentine's Day 
938,Casino,42438300,http://www.the-numbers.com/movie/Casino#tab=summary,52000000,11/22/1995,110400000,Casino 
939,The Change-Up,37081475,http://www.the-numbers.com/movie/Change-Up-The#tab=summary,52000000,8/5/2011,75835124,The Change-Up 
940,The Thin Red Line,36400491,http://www.the-numbers.com/movie/Thin-Red-Line-The#tab=summary,52000000,12/23/1998,97709034,The Thin Red Line 
942,From Paris With Love,24077427,http://www.the-numbers.com/movie/From-Paris-With-Love#tab=summary,52000000,2/5/2010,53139168,From Paris with Love 
943,Bulletproof Monk,23010607,http://www.the-numbers.com/movie/Bulletproof-Monk#tab=summary,52000000,4/16/2003,23010607,Bulletproof Monk 
944,"Me, Myself & Irene",90570999,http://www.the-numbers.com/movie/Me-Myself-and-Irene#tab=summary,51000000,6/23/2000,149270999,"Me, Myself & Irene "
946,Deck the Halls,35093569,http://www.the-numbers.com/movie/Deck-the-Halls#tab=summary,51000000,11/22/2006,46815807,Deck the Halls 
947,The Adjustment Bureau,62495645,http://www.the-numbers.com/movie/Adjustment-Bureau-The#tab=summary,50200000,3/4/2011,126931325,The Adjustment Bureau 
948,The Twilight Saga: New Moon,296623634,http://www.the-numbers.com/movie/Twilight-Saga-New-Moon-The#tab=summary,50000000,11/20/2009,687557727,The Twilight Saga: New Moon 
949,Shrek,267655011,http://www.the-numbers.com/movie/Shrek#tab=summary,50000000,5/18/2001,491812794,Shrek 
950,Ted,218665740,http://www.the-numbers.com/movie/Ted#tab=summary,50000000,6/29/2012,556016627,Ted 
951,22 Jump Street,191719337,http://www.the-numbers.com/movie/22-Jump-Street#tab=summary,50000000,6/13/2014,331333876,22 Jump Street 
952,Robin Hood: Prince of Thieves,165493908,http://www.the-numbers.com/movie/Robin-Hood-Prince-of-Thieves#tab=summary,50000000,6/14/1991,390500000,Robin Hood: Prince of Thieves 
953,Jerry Maguire,153952592,http://www.the-numbers.com/movie/Jerry-Maguire#tab=summary,50000000,12/13/1996,274000000,Jerry Maguire 
954,Daddyâ€™s Home,150357137,http://www.the-numbers.com/movie/Daddys-Home-(2015)#tab=summary,50000000,12/25/2015,238757137,Daddy's Home 
955,As Good as it Gets,148478011,http://www.the-numbers.com/movie/As-Good-as-it-Gets#tab=summary,50000000,12/24/1997,314111923,As Good as It Gets 
956,Patch Adams,135014968,http://www.the-numbers.com/movie/Patch-Adams#tab=summary,50000000,12/25/1998,202173000,Patch Adams 
957,Into the Woods,128002372,http://www.the-numbers.com/movie/Into-the-Woods#tab=summary,50000000,12/25/2014,203502372,Into the Woods 
958,Anchorman 2: The Legend Continues,127352707,http://www.the-numbers.com/movie/Anchorman-2#tab=summary,50000000,12/18/2013,172185754,Anchorman 2: The Legend Continues 
959,Super 8,127004179,http://www.the-numbers.com/movie/Super-8#tab=summary,50000000,6/9/2011,257972745,Super 8 
960,Mr. Deeds,126293452,http://www.the-numbers.com/movie/Mr-Deeds#tab=summary,50000000,6/28/2002,171269535,Mr. Deeds 
961,Central Intelligence,126175032,http://www.the-numbers.com/movie/Central-Intelligence#tab=summary,50000000,6/17/2016,206175032,Central Intelligence 
962,Erin Brockovich,125548685,http://www.the-numbers.com/movie/Erin-Brockovich#tab=summary,50000000,3/17/2000,257805243,Erin Brockovich 
963,How to Lose a Guy in 10 Days,105807520,http://www.the-numbers.com/movie/How-to-Lose-a-Guy-in-10-Days#tab=summary,50000000,2/7/2003,178890782,How to Lose a Guy in 10 Days 
964,Interview with the Vampire: The Vampire Chronicles,105264608,http://www.the-numbers.com/movie/Interview-with-the-Vampire-The-Vampire-Chronicles#tab=summary,50000000,11/11/1994,223564608,Interview with the Vampire: The Vampire Chronicles 
965,Yes Man,97690976,http://www.the-numbers.com/movie/Yes-Man#tab=summary,50000000,12/19/2008,225990976,Yes Man 
966,Non-Stop,91742160,http://www.the-numbers.com/movie/Non-Stop-(2013)#tab=summary,50000000,2/28/2014,212742160,Non-Stop 
