,movie_title,opening_gross,screens
772,Horrible Bosses 2 ,15457418,3375
773,Horrible Bosses ,28302165,3040
774,Hostage ,10214734,2123
775,Hot Fuzz ,5848464,825
776,Hot Pursuit ,13942258,3003
777,Hot Rod ,5310711,2607
778,Hot Tub Time Machine 2 ,5963324,2880
779,Hot Tub Time Machine ,14020502,2754
780,Hotel for Dogs ,17012212,3271
781,Hotel Rwanda ,100091,7
782,Hotel Transylvania 2 ,48464322,3754
783,Hotel Transylvania ,42522194,3349
784,House of Flying Daggers ,397472,15
785,House of Sand and Fog ,45572,2
786,House on Haunted Hill ,15946032,2710
787,Housefull ,642156,82
788,How Do You Know ,7484696,2483
789,How High ,9779850,1266
790,How She Move ,3957471,1531
791,How Stella Got Her Groove Back ,11318919,1395
792,How the Grinch Stole Christmas ,55082330,3127
793,How to Be a Player ,5736692,
794,How to Be Single ,18750000,3343
795,How to Deal ,5809960,2319
796,How to Lose a Guy in 10 Days ,23774850,2923
797,How to Lose Friends & Alienate People ,1430294,1750
798,How to Train Your Dragon 2 ,49451322,4253
799,How to Train Your Dragon ,43732319,4055
800,Hugo ,11364505,1277
801,Hulk ,62128420,3660
802,I Am Legend ,77211321,3606
803,I Am Number Four ,22755854,3
804,I Am Sam ,25993,1
805,I Can Do Bad All by Myself ,23446785,2255
806,I Don't Know How She Does It ,4402201,2476
807,I Dreamed of Africa ,2411445,2112
808,I Heart Huckabees ,292177,4
809,I Know What You Did Last Summer ,15818645,2524
810,I Love You Phillip Morris ,112520,6
811,"I Love You, Beth Cooper ",4919433,1858
812,"I Love You, Man ",17810270,2711
813,I Still Know What You Did Last Summer ,16520038,2443
814,I Think I Love My Wife ,5674802,1776
815,I'm Not There. ,730819,130
816,"I, Robot ",52179887,3420
817,Ice Age: Continental Drift ,46629259,3881
818,Ice Age: Dawn of the Dinosaurs ,41690382,4099
819,Ice Age: The Meltdown ,68033544,
820,Ice Age ,46312454,3316
821,Ice Princess ,6807471,2501
822,Identity Thief ,34551025,3141
823,Identity ,16225263,2733
824,Idle Hands ,1807181,1611
825,Idlewild ,5745780,973
826,If I Stay ,15679190,2907
827,Imagine That ,5503519,3008
828,Immortals ,32206425,3112
829,Impostor ,3022523,1870
830,In & Out ,15019821,1992
831,In Bruges ,457227,28
832,In Dreams ,4593872,1670
833,In Good Company ,151750,3
834,In the Cut ,97625,6
835,In the Land of Blood and Honey ,9479,2
836,In the Land of Women ,4712341,2155
837,In the Name of the King: A Dungeon Siege Tale ,2984524,1632
838,In the Valley of Elah ,133557,9
839,In Time ,12050368,3122
840,Independence Day: Resurgence ,41039944,4068
841,Independence Day ,50228264,2
842,Indiana Jones and the Kingdom of the Crystal Skull ,126917373,4260
843,Infamous ,452966,179
844,Inherent Vice ,2773260,645
845,Inkheart ,7601379,2655
846,Inside Llewyn Davis ,405411,4
847,Inside Man ,28954945,2818
848,Inside Out ,90440272,3946
849,Insomnia ,20930169,2610
850,Inspector Gadget ,21889138,2814
851,Instinct ,10390387,2059
852,Interstellar ,47510360,3561
853,Into the Blue ,7057854,2789
854,Into the Storm ,18015000,3434
855,Into the Wild ,212440,4
856,Into the Woods ,31051923,2440
857,Intolerable Cruelty ,12525075,2564
858,Invictus ,8611147,2125
859,Ip Man 3 ,784839,103
860,Iron Man 2 ,128122480,4380
861,Iron Man 3 ,174144585,4253
862,Iron Man ,98618668,4105
863,Isn't She Great ,1368705,750
864,It's Complicated ,22100822,2887
865,J. Edgar ,11217324,1910
866,Jack and Jill ,25003575,3438
867,Jack Ryan: Shadow Recruit ,17200000,3387
868,Jack the Giant Slayer ,27202226,3525
869,Jackass 3D ,50353641,3081
870,Jackass Number Two ,29002002,3059
871,Jakob the Liar ,2056647,1200
872,Jane Got a Gun ,803000,1210
873,Jarhead ,27726210,2411
874,Jason Bourne ,60000000,4026
875,Jason X ,6649006,1878
876,Jay and Silent Bob Strike Back ,11018543,2765
877,Jeepers Creepers II ,18365222,3124
878,Jennifer's Body ,6868397,2702
879,Jerry Maguire ,17084296,2531
880,Jersey Boys ,13319371,2905
881,Jersey Girl ,8319171,1520
882,Jimmy Neutron: Boy Genius ,18554948,3139
883,Jindabyne ,28298,6
884,Jingle All the Way ,12112267,2401
885,Joe Dirt ,8016008,2638
886,Joe Somebody ,5377635,2506
887,John Carter ,30180188,3749
888,John Q ,23612171,2466
889,Johnny English Reborn ,3833300,1552
890,Johnny English ,9134085,2236
891,Johnson Family Vacation ,9375307,1317
892,Jonah Hex ,5379365,2825
893,Jonah: A VeggieTales Movie ,6201345,940
894,Josie and the Pussycats ,4562455,2556
895,Journey 2: The Mysterious Island ,27335363,3470
896,Journey to the Center of the Earth ,21018141,2811
897,Joy Ride ,7347259,2497
898,Joyeux Noel ,42732,6
899,Joyful Noise ,11225190,2735
900,Joy ,17500000,2896
901,Julie & Julia ,20027956,2354
902,Jumper ,32092991,3428
903,Jupiter Ascending ,18372372,3181
904,Jurassic Park III ,50771645,3434
905,Jurassic World ,208806270,4274
906,Just Go with It ,30514732,3548
907,Just Like Heaven ,16408718,3508
908,Just Married ,17548993,2766
909,Just My Luck ,5692285,2541
910,Just Visiting ,2272489,1590
911,Just Wright ,8284989,1831
912,Justin Bieber: Never Say Never ,29514054,3105
913,Juwanna Mann ,5474270,1325
914,K-19: The Widowmaker ,12778459,2828
915,K-PAX ,17215275,2541
916,Kabhi Alvida Naa Kehna ,1351786,
917,Kangaroo Jack ,21895483,2818
918,Kansas City ,432183,215
919,Kate & Leopold ,2562448,2449
920,Katy Perry: Part of Me ,7138266,2730
921,Keanu ,9453224,2658
922,Keeping the Faith ,8078671,2152
923,Kick-Ass 2 ,13332955,2940
924,Kick-Ass ,19828687,3065
925,Kicking & Screaming ,20159925,3455
926,Kill Bill: Vol. 1 ,22089322,3102
927,Kill Bill: Vol. 2 ,25104949,2971
928,Killer Elite ,9300000,2986
929,Killers ,15837266,2859
930,Killing Them Softly ,6812900,2424
931,King's Ransom ,2137685,1508
932,Kingpin ,5582000,1956
933,Kinsey ,169038,5
934,Kiss Kiss Bang Bang ,180660,8
935,Kiss of the Dragon ,13304027,2025
936,Kiss the Girls ,13215167,2271
937,Knight and Day ,20139985,3098
938,Knock Off ,5516000,1800
939,Knockaround Guys ,5016852,1806
940,Knocked Up ,30690990,2871
941,Knowing ,24604751,3332
942,Krampus ,16293325,2902
943,Kundun ,1620041,429
944,Kung Fu Hustle ,269225,7
945,Kung Fu Panda 2 ,47835000,3925
946,Kung Fu Panda 3 ,41282042,3955
947,Kung Fu Panda ,60239130,4114
948,L.A. Confidential ,5211198,769
949,Labor Day ,5175282,2584
950,Ladder 49 ,22088204,3260
951,Lady in the Water ,18044396,3235
952,Lake Placid ,10974145,2096
953,Lakeview Terrace ,15004672,2464
954,Land of the Dead ,10221705,2249
955,Land of the Lost ,18837350,3521
956,Lara Croft Tomb Raider: The Cradle of Life ,21783641,3222
957,Lara Croft: Tomb Raider ,47735743,3308
958,Larry Crowne ,13006875,2973
959,Larry the Cable Guy: Health Inspector ,6922767,1710
960,Lars and the Real Girl ,90418,7
961,Last Holiday ,15508779,2514
962,Last Orders ,99528,7
963,Last Vegas ,16334566,3065
964,Law Abiding Citizen ,21039502,2890
965,Laws of Attraction ,6728905,2449
966,Leap Year ,2727,1
967,Leatherheads ,12682595,2769
968,Lee Daniels' The Butler ,24637312,2933
969,"Legally Blonde 2: Red, White & Blonde ",22220670,3350
970,Legally Blonde ,20377426,2620
971,Legend of the Guardians: The Owls of Ga'Hoole ,16112211,3575
972,Legends of Oz: Dorothy's Return ,3715931,2575
973,Legend ,86836,4
974,Legion ,17501625,2476
975,Les couloirs du temps: Les visiteurs II ,68316,24
977,Let Me In ,5147479,2021
978,Let's Be Cops ,17813722,3094
979,Letters from Iwo Jima ,122548,5
980,Letters to Juliet ,13540486,2968
981,Liar Liar ,31423025,2845
982,License to Wed ,10422258,2604
983,Life as a House ,294056,29
984,Life of Pi ,22451514,2927
985,Life or Something Like It ,6219234,2604
986,Light It Up ,2408613,1219
987,Like Mike ,12179420,2410
988,Lilo & Stitch ,35260212,3191
989,Lincoln ,21049406,1775
990,Lions for Lambs ,6702434,
991,Little Black Book ,7075217,2445
992,Little Boy ,2750356,1045
993,Little Children ,97953,5
994,Little Fockers ,30833665,3536
995,Little Nicholas ,,
996,Little Nicky ,16063904,2910
997,Littleman ,21613176,2533
998,Live Free or Die Hard ,33369559,3408
999,Living Out Loud ,4319745,1086
1000,Lockout ,6231836,2308
1001,London Has Fallen ,21635601,3490
1002,Lone Survivor ,84857,2
1003,Looney Tunes: Back in Action ,9317371,2903
1004,Looper ,20801552,2992
1005,Lord of War ,9390144,2814
1006,Lords of Dogtown ,5623373,1865
1007,Loser ,6008611,2016
1008,Lost in Space ,20154919,3306
1009,Lost Souls ,7954766,1970
1010,Lottery Ticket ,10652297,1973
1011,Love & Basketball ,8139180,1237
1012,Love & Other Drugs ,9739161,2455
1013,Love Actually ,6886080,576
1014,Love Happens ,8057010,1898
1015,Love in the Time of Cholera ,1924860,852
1016,Love Ranch ,60353,11
1017,Love the Coopers ,8317545,2603
1018,Lucky Number Slevin ,7031921,1984
1019,Lucky Numbers ,4536625,2497
1020,Lucy ,43899340,3173
1021,Machete Kills ,3837183,2538
1022,Machete ,14102888,2670
1023,Machine Gun Preacher ,45130,4
1024,Mad City ,4649742,2194
1025,Mad Max: Fury Road ,45428128,3702
1026,Mad Money ,9273645,2470
1027,Madagascar 3: Europe's Most Wanted ,60316738,4258
1028,Madagascar: Escape 2 Africa ,63106589,4056
1029,Madagascar ,61012130,4131
1030,Made of Honor ,14756850,2729
1031,Madea Goes to Jail ,41030947,2032
1032,Madea's Witness Protection ,25390575,2161
1033,Madison ,268370,93
1034,Magic Mike XXL ,11600000,3355
1035,Magnolia ,193604,7
1036,Maid in Manhattan ,18711407,2838
1037,Maleficent ,,
1038,Malibu's Most Wanted ,12618159,2503
1039,Mama ,28123052,2647
1040,Mamma Mia! ,27751240,2976
1041,Man of Steel ,116619362,4207
1042,Man of the Year ,12299380,2515
1043,Man on a Ledge ,8001932,2998
1044,Man on Fire ,22751490,2979
1045,Mandela: Long Walk to Freedom ,84283,4
1046,Manderlay ,15117,2
1047,Mao's Last Dancer ,199657,33
1048,Marci X ,872950,1200
1049,Margaret ,7525,2
1050,Marie Antoinette ,5361050,859
1051,Marley & Me ,36367586,3480
1052,Marmaduke ,11599661,3213
1053,Married Life ,55851,9
1054,Mars Attacks! ,9384272,1955
1055,Mars Needs Moms ,6914488,3117
1056,Martian Child ,3376669,2020
1057,Marvin's Room ,57739,6
1058,Mary Reilly ,2812620,1470
1059,Master and Commander: The Far Side of the World ,25105990,3101
1060,Match Point ,529434,
1061,Max Keeble's Big Move ,5377958,2014
1062,Max Payne ,17639849,3376
1063,Maximum Risk ,5611707,2358
1064,Max ,12155254,2855
1065,"McFarland, USA ",11020798,2755
1066,Me and Orson Welles ,63638,4
1067,Me Before You ,18723269,2704
1068,"Me, Myself & Irene ",24209385,3019
1069,Mean Girls ,24432195,2839
1070,Meet Dave ,5251918,3011
1071,Meet Joe Black ,15017995,2503
1072,Meet the Deedles ,2006751,1763
1073,Meet the Fockers ,46120980,3518
1074,Meet the Spartans ,18505530,2605
1075,Megamind ,46016833,3944
1076,Megiddo: The Omega Code 2 ,1573454,314
1077,Memoirs of a Geisha ,682504,
1078,Men in Black ,51068455,3020
1079,Men of Honor ,13339465,2092
1080,Mercury Rising ,10104715,2386
1081,Message in a Bottle ,18852976,2538
1082,Metallica Through the Never ,1672000,305
1083,Michael Clayton ,719910,15
1084,Michael Collins ,187052,6
1085,Mickey Blue Eyes ,10178289,2573
1086,Micmacs ,51914,4
1087,Midnight in Paris ,599003,6
1088,Midnight in the Garden of Good and Evil ,5233658,824
1089,Midnight Special ,190012,5
1090,Mighty Joe Young ,10602042,2502
1091,Milk ,1481155,882
1092,Million Dollar Arm ,10511000,3019
1093,Million Dollar Baby ,179953,8
1094,Mindhunters ,1911358,1040
1095,Minions ,115200000,4301
1096,Minority Report ,35677125,3001
1097,Miracle at St. Anna ,3477996,1185
1098,Miracles from Heaven ,14812393,3047
1099,Miracle ,19377577,2605
1100,Mirror Mirror ,18132085,3603
1101,Mirrors ,11161074,2664
1102,Miss Congeniality 2: Armed and Fabulous ,14043215,3233
1103,Miss Congeniality ,13853686,2668
1104,Miss Potter ,13205,2
1105,Mission to Mars ,22855247,3054
1106,Mission: Impossible - Ghost Protocol ,29556629,3448
1107,Mission: Impossible - Rogue Nation ,55520089,3956
1108,Mission: Impossible III ,47743273,4054
1110,Mona Lisa Smile ,11528498,2677
1111,Money Monster ,14788157,3104
1112,Money Talks ,10654369,2005
1113,Moneyball ,19501302,2993
1114,Monkeybone ,2685078,1722
1115,Monster House ,22217226,3553
1116,Monster-in-Law ,23105133,3424
1117,Monsters University ,82429469,4004
1118,Monsters vs. Aliens ,59321095,4104
1119,"Monsters, Inc. ",5040000,2618
1120,Monte Carlo ,8588318,2
1121,Moonlight Mile ,329771,22
1122,Moonrise Kingdom ,522996,4
1123,Morning Glory ,9203266,2518
1124,Mortal Kombat: Annihilation ,16771694,2140
1125,Mortdecai ,4200586,2648
1126,Moulin Rouge! ,71614,51
1127,Mr 3000 ,8679028,2736
1128,Mr. & Mrs. Smith ,50342878,3424
1129,Mr. Bean's Holiday ,9889780,1714
1130,Mr. Deeds ,37162787,3231
1131,Mr. Peabody & Sherman ,32207057,3934
1132,Mr. Popper's Penguins ,18445355,3339
1133,Mr. Turner ,109000,5
1134,Mrs Henderson Presents ,55344,
1135,Mrs. Winterbourne ,,
1136,Mulan ,22745143,2888
1137,Mulholland Drive ,960558,247
1138,Multiplicity ,5075000,2134
1139,Mumford ,1851291,1452
1140,Munich ,6040860,532
1141,Muppets from Space ,4826049,2265
1142,Muppets Most Wanted ,17005126,3194
1143,Murder by Numbers ,9307394,2663
1144,Music and Lyrics ,15875471,2955
1145,Must Love Dogs ,12855321,2505
1146,My Baby's Daddy ,7548819,1447
1147,My Best Friend's Girl ,8265357,2604
1148,My Best Friend's Wedding ,21678377,2134
1149,My Big Fat Greek Wedding 2 ,17861950,3133
1150,My Bloody Valentine ,21241456,2534
1151,My Boss's Daughter ,4855798,2201
1152,My Favorite Martian ,11181043,2275
1153,My Life in Ruins ,3223161,1164
1154,My Sister's Keeper ,12442212,2606
1155,My Soul to Take ,6842220,2572
1156,My Super Ex-Girlfriend ,8603460,2702
1157,Mystery Men ,10017865,2136
1158,"Mystery, Alaska ",3102191,1673
1159,Mystic River ,640815,13
1160,Nacho Libre ,28309599,3070
1161,Nancy Drew ,6832318,2612
1162,Nanny McPhee Returns ,8407685,2784
1163,Nanny McPhee ,14503650,1995
1164,National Treasure ,35142554,3017
1165,Nebraska ,1552426,968
1166,Need for Speed ,17844939,3115
1167,Neighbors 2: Sorority Rising ,21760405,3384
1168,Neighbors ,49033915,3279
1169,Nerve ,9445456,2538
1170,Never Back Down ,8603195,2729
1171,Never Let Me Go ,111734,4
1172,New Year's Eve ,13019180,3505
1173,New York Minute ,5962106,3006
1174,Night at the Museum: Battle of the Smithsonian ,70052004,4096
1175,Night at the Museum: Secret of the Tomb ,17100520,3785
1176,Night at the Museum ,42212651,
1177,Nim's Island ,13210579,3513
1178,Nine Queens ,40724,5
1179,Nine ,257232,4
1180,Ninja Assassin ,13316158,2503
1181,No Country for Old Men ,1226333,28
1182,No Good Deed ,24250283,2175
1183,No Reservations ,11704357,2425
1184,No Strings Attached ,19652921,3018
1185,Non-Stop ,28875635,3090
1186,North Country ,6422455,2555
1187,Not Another Teen Movie ,12615116,2365
1188,Notes on a Scandal ,5090,
1189,Nothing to Lose ,11617767,1862
1190,Notting Hill ,27689760,2747
1191,Now You See Me 2 ,22383146,3232
1192,Now You See Me ,29350389,2925
1193,Nurse Betty ,7145950,1459
1194,Nutty Professor II: The Klumps ,42518830,3242
1195,"O Brother, Where Art Thou? ",195104,5
1196,Oblivion ,37054485,3783
1197,Observe and Report ,11017334,2727
1198,Ocean's Eleven ,38107822,3075
1199,Ocean's Thirteen ,36133403,3565
1200,Ocean's Twelve ,39153380,3290
1201,Oceans ,6000000,1206
1202,Old Dogs ,16894511,3425
1203,Old School ,17453216,2689
1204,Oliver Twist ,68447,5
1205,Olympus Has Fallen ,30373794,3098
1206,On the Road ,39550,4
1207,Once Upon a Time in Mexico ,23424118,3282
1208,Ondine ,27497,5
1209,One Day ,5079566,1721
1210,One Hour Photo ,321515,7
1211,One Missed Call ,12511473,2240
1212,One Night with the King ,4106862,909
1213,One True Thing ,6606455,1590
1214,Ong-bak 2 ,26564,10
1215,Open Range ,14047781,2075
1216,Open Season ,23624548,3833
1217,Operation Chromite ,31662,1
1218,Original Sin ,6402741,2194
1219,Orphan ,12871483,2750
1220,Oscar and Lucinda ,137163,7
1221,Osmosis Jones ,5271248,2305
1222,Our Brand Is Crisis ,3238433,2202
1223,Our Family Wedding ,7629862,1605
1224,Out Cold ,4531665,2011
1225,Out of Sight ,12020435,2107
1226,Out of the Furnace ,5220288,2101
1227,Out of Time ,16185316,3076
1228,Over the Hedge ,38457003,4059
1229,Oz the Great and Powerful ,79110453,3912
1230,P.S. I Love You ,9283468,2454
1231,Pacific Rim ,37285325,3275
1232,Paddington ,25205000,3303
1233,Pain & Gain ,20244505,3277
1234,Pandorum ,4424126,2506
1235,Panic Room ,30056751,3053
1236,Paparazzi ,7855111,2115
1237,Paper Towns ,12650140,3031
1238,Parental Guidance ,14800000,3367
1239,"Paris, je t'aime ",39242,2
1240,Passchendaele ,,
1241,Patch Adams ,25262280,2712
1242,Paul Blart: Mall Cop 2 ,23762435,3633
1243,Paul Blart: Mall Cop ,31832636,3144
1244,Paul ,13043310,2802
1245,Pay It Forward ,9631359,2130
1246,Payback ,21221526,2720
1247,Paycheck ,13462374,2762
1248,Pearl Harbor ,75177654,3214
1249,Peeples ,4611534,2041
1250,Penguins of Madagascar ,25447444,3764
1251,People I Know ,34211,5
1252,Percy Jackson & the Olympians: The Lightning Thief ,38661634,3356
1253,Percy Jackson: Sea of Monsters ,14401054,3031
1254,Perfume: The Story of a Murderer ,55527,3
1255,Phenomenon ,16200000,1637
1256,Philomena ,128435,4
1257,Phone Booth ,15021088,2481
1258,Pineapple Express ,23245025,3072
1259,Piranha 3D ,10106872,2470
1260,Pirates of the Caribbean: At World's End ,139802190,4362
1261,Pirates of the Caribbean: Dead Man's Chest ,135634554,
1262,Pirates of the Caribbean: On Stranger Tides ,90151958,4155
1263,Pirates of the Caribbean: The Curse of the Black Pearl ,46630690,3269
1264,Pitch Black ,14015741,1832
1265,Pitch Perfect 2 ,70300000,3473
1266,Pitch Perfect ,5149433,335
1267,Pixels ,24011616,3723
1268,Planet 51 ,12286129,3
1269,Play It to the Bone ,3366,1
1270,Playing for Keeps ,5750288,2837
1271,Pompeii ,10340823,2658
1272,Pooh's Heffalump Movie ,5805559,2529
1273,Poseidon ,22155410,3555
1274,Post Grad ,2651996,1959
1275,Practical Magic ,13104694,2652
1276,Predators ,24760882,2699
1277,Premium Rush ,6300000,2255
1278,Premonition ,17558689,2831
1279,Pride & Prejudice ,2865017,215
1280,Pride and Glory ,6262396,2585
1281,Pride and Prejudice and Zombies ,5324240,2931
1282,Priest ,14953664,2864
1283,Primary Colors ,12045395,1965
1284,Prince of Persia: The Sands of Time ,37813075,3646
1285,Project Almanac ,8500000,2893
1286,Project X ,21051363,3055
1287,Prom Night ,20804941,2700
1288,Prometheus ,51050101,3396
1289,Promised Land ,173915,25
1290,Proof of Life ,10207869,2705
1291,Public Enemies ,25271675,3334
1292,Pulse ,8203822,
1293,Punch-Drunk Love ,367203,5
1294,Punisher: War Zone ,4271451,2508
1295,Pushing Tin ,3555032,1283
1296,Puss in Boots ,34077439,3952
1297,Quantum of Solace ,67528882,3451
1298,Quarantine ,14211321,2461
1299,Quartet ,47122,2
1300,Queen of the Damned ,14757535,2511
1301,Quills ,249383,9
1302,R.I.P.D. ,12691415,2852
1303,Race to Witch Mountain ,24402214,3187
1304,Rachel Getting Married ,293369,9
1305,Racing Stripes ,18862432,3185
1306,Radio ,13303724,3074
1307,Raise Your Voice ,4022693,2521
1308,Raising Helen ,14239252,2717
1309,Ramona and Beezus ,7810481,2719
1310,Random Hearts ,13012585,2697
1311,Rango ,38079323,3917
1312,Ransom ,34216088,2676
1313,Rat Race ,11662094,2550
1314,Ratatouille ,47027395,3940
1315,Ravenous ,1040727,1040
1316,Ray ,20039730,2006
1317,Ready to Rumble ,5257778,2585
1318,Real Steel ,27319677,3440
1319,RED 2 ,18048422,3016
1320,Red Cliff ,13104,2
1321,Red Dragon ,36540945,3357
1322,Red Eye ,16167662,3079
1323,Red Lights ,10340,2
1324,Red Planet ,8721296,2703
1325,Red Riding Hood ,14005335,3030
1326,Red Tails ,18782154,2512
1327,Regression ,33915,100
1328,Reign of Fire ,15632281,2629
1329,Reign Over Me ,7460690,1671
1330,Reindeer Games ,8128356,2204
1331,Remember Me ,8089139,2212
1332,Remember the Titans ,20905831,1865
1333,Rendition ,4060012,2250
1334,Rent ,10016021,
1335,Repo Men ,6126170,2521
1336,Resident Evil: Afterlife ,26650264,3203
1337,Resident Evil: Apocalypse ,23036273,3284
1338,Resident Evil: Extinction ,23678580,2828
1339,Resident Evil: Retribution ,21052227,3012
1340,Resident Evil ,17707106,2528
1341,Resurrecting the Champ ,1667659,1605
1342,Return to Me ,7820836,2007
1343,Return to Never Land ,15623464,2605
1344,Revolutionary Road ,189911,3
1345,Riddick ,19030375,3117
1346,Ride Along 2 ,34040000,3175
1347,Ride Along ,41237000,2663
1348,Ride with the Devil ,64159,8
1349,Riding in Cars with Boys ,10404652,2770
1350,Righteous Kill ,16288361,3152
1351,Rio 2 ,39327869,3948
1352,Rio ,39225962,3827
1353,Rise of the Guardians ,23773465,3653
1354,Rise of the Planet of the Apes ,54806191,3648
1355,Risen ,11801271,2915
1356,Road to Perdition ,22079481,1797
1357,Road Trip ,15484004,2530
1358,Robin Hood ,36063385,3503
1359,Robots ,36045301,3776
1360,Rock of Ages ,14437269,3470
1361,Rock Star ,6018636,2525
1362,RocknRolla ,144701,7
1363,Rocky Balboa ,17003904,
1364,Role Models ,19167085,2792
1365,Rollerball ,9013548,2762
1366,Romance & Cigarettes ,11630,2
1367,Romeo Must Die ,18014503,2641
1368,Ronin ,12697641,2487
1369,Room ,1335563,862
1370,Rounders ,8459126,2176
1371,Rugrats Go Wild ,11556869,3041
1372,Rugrats in Paris: The Movie ,22718184,2934
1373,Run All Night ,11012305,3171
1374,Runaway Bride ,35055556,3158
1375,Runner Runner ,7706712,3026
1376,Running Scared ,3381974,1611
1377,Running with Scissors ,226108,8
1378,Rush Hour 2 ,67408222,3118
1379,Rush ,187289,5
1380,S.W.A.T. ,37062535,3202
1381,Sabotage ,5272444,2486
1382,Safe Haven ,21401594,3223
1383,Safe House ,40172720,3119
1384,Safe ,7892539,2266
1385,Sahara ,18068372,3154
1386,Salt ,36011243,3612
1387,San Andreas ,54588173,3777
1388,Sanctum ,9447930,2787
1389,Savages ,16016910,2628
1390,Save the Last Dance ,27526443,2230
1391,Saving Mr. Banks ,9344381,2110
1392,Saving Private Ryan ,30576104,2463
1393,Saving Silverman ,7411852,2467
1394,Saw VI ,14118444,3036
1395,Say It Isn't So ,2861903,1974
1396,Scary Movie 2 ,20503356,3220
1397,Scary Movie 3 ,48113770,3505
1398,Scary Movie 4 ,40222875,3602
1399,School for Scoundrels ,8602333,3004
1400,School of Rock ,19622714,2614
1401,Scooby-Doo 2: Monsters Unleashed ,29438331,3312
1402,Scooby-Doo ,54155312,3447
1403,Scott Pilgrim vs. the World ,10609795,2818
1404,Scream 2 ,32926342,2
1405,Scream 3 ,34713342,3467
1406,Scream 4 ,18692090,3305
1407,Scream ,6354586,1413
1408,Screwed ,3342085,1759
1409,Seabiscuit ,20854735,1987
1410,Secondhand Lions ,12139832,3013
1411,Secret in Their Eyes ,6652996,2392
1412,Secret Window ,18237568,3018
1413,Secretariat ,12694770,3072
1414,See Spot Run ,9715102,2656
1415,Seed of Chucky ,8774520,2059
1416,Selena ,11615722,1850
1417,Selma ,11307394,2179
1418,Semi-Pro ,15075114,3121
1419,September Dawn ,635000,857
1420,Serendipity ,13309241,2601
1421,Serenity ,10086680,2188
1422,Serving Sara ,5758236,2154
1423,Seven Pounds ,14851136,2758
1424,Seven Psychopaths ,4174915,1480
1425,Seven Years in Tibet ,10066508,2103
1426,Seventh Son ,7217640,2875
1427,Sex Tape ,14608152,3062
1428,Sgt. Bilko ,8110080,
1429,Shadow Conspiracy ,1370831,837
1430,Shaft ,21714757,2337
1431,Shakespeare in Love ,4224426,632
1432,Shall We Dance ,11783467,1772
1433,Shallow Hal ,22518295,2770
1434,Shanghai Knights ,19603630,2753
1435,Shanghai Noon ,19647065,2711
1436,Shark Night 3D ,8404260,2806
1437,Shark Tale ,47604606,4016
1438,She's Out of My League ,9775278,2956
1439,She's the Man ,10730372,2623
1440,Sherlock Holmes: A Game of Shadows ,39637079,3703
1441,Sherlock Holmes ,62304277,3626
1442,Shooter ,14523571,2806
1443,Shorts ,6410339,3
1444,Shrek 2 ,108037878,4163
1445,Shrek Forever After ,70838207,4359
1446,Shrek the Third ,121629270,4122
1447,Shrek ,42347760,3587
1448,Shutter Island ,41062440,2991
1449,Sicario ,12148041,2620
1450,Sideways ,207042,4
1451,Signs ,60117080,3264
1452,Silent Hill: Revelation 3D ,8023036,2933
1453,Silent Hill ,20152598,2926
1454,Silent Trigger ,,
1455,Silver Linings Playbook ,443003,16
1456,Simon Birch ,3321370,596
1457,Sin City: A Dame to Kill For ,6317683,2894
1458,Sinbad: Legend of the Seven Seas ,6874477,3086
1459,Six Days Seven Nights ,16485276,2550
1460,Sky Captain and the World of Tomorrow ,15580278,3170
1461,Sky High ,14631784,2905
1462,Skyfall ,88364714,3505
1463,Slackers ,2785283,1893
1464,Sleepers ,12305745,1915
1465,Slither ,3880270,
1466,Slow Burn ,778123,
1467,Slumdog Millionaire ,360018,10
1468,Small Soldiers ,14047592,2539
1469,Small Time Crooks ,3880723,865
1470,Smilla's Sense of Snow ,107108,8
1471,Smokin' Aces ,14638755,2218
1472,Snake Eyes ,16310373,2713
1473,Snow Day ,14331819,2664
1474,Snow Dogs ,23708174,2302
1475,Snow Falling on Cedars ,32135,3
1476,Snow White and the Huntsman ,56217700,3773
1477,Snowpiercer ,171187,8
1478,Soldier ,6447237,2507
1479,Solitary Man ,94936,4
1480,Someone Like You... ,10010600,2345
1481,Something Borrowed ,13945368,2904
1482,Something's Gotta Give ,16064723,2677
1483,Son of God ,26500000,3260
1484,Son of the Mask ,7511675,2966
1485,Sorority Boys ,4127903,1801
1486,Sorority Row ,5059802,2665
1487,Soul Men ,5401605,2044
1488,Soul Plane ,7008711,1566
1489,Soul Surfer ,10601862,2214
1490,Soul Survivors ,1140698,601
1491,Source Code ,14812094,2961
1492,South Park: Bigger Longer & Uncut ,23076186,2128
1493,Southland Tales ,123428,63
1494,Southpaw ,16701294,2772
1495,Space Chimps ,7181374,2511
1496,Space Cowboys ,18093776,2805
1497,Space Jam ,27528529,2650
1498,Spanglish ,8817853,2438
1499,Spawn ,21210131,2536
1500,Spectre ,70403148,3929
1501,Speed 2: Cruise Control ,16158942,2615
1502,Speed Racer ,18561337,3606
1503,Sphere ,18586765,2814
1504,Spider-Man 2 ,115817364,4152
1505,Spider-Man 3 ,151116516,4252
1506,Spider-Man ,114844116,3615
1507,Spirit: Stallion of the Cimarron ,23213736,3317
1508,Splice ,7385277,2450
1509,Spotlight ,295009,5
1510,Spy Game ,21689125,2770
1511,Spy Hard ,98176,
1512,Spy Kids 2: Island of Lost Dreams ,16711716,3307
